currency,rate,timestamp
USD,1.0,2026-06-09 02:51:51
AED,3.67,2026-06-09 02:51:51
AFN,63.43,2026-06-09 02:51:51
ALL,82.54,2026-06-09 02:51:51
AMD,368.52,2026-06-09 02:51:51
ANG,1.79,2026-06-09 02:51:51
AOA,926.02,2026-06-09 02:51:51
ARS,1445.4,2026-06-09 02:51:51
AUD,1.42,2026-06-09 02:51:51
AWG,1.79,2026-06-09 02:51:51
AZN,1.7,2026-06-09 02:51:51
BAM,1.7,2026-06-09 02:51:51
BBD,2.0,2026-06-09 02:51:51
BDT,122.74,2026-06-09 02:51:51
BGN,1.7,2026-06-09 02:51:51
BHD,0.376,2026-06-09 02:51:51
BIF,2983.09,2026-06-09 02:51:51
BMD,1.0,2026-06-09 02:51:51
BND,1.29,2026-06-09 02:51:51
BOB,6.91,2026-06-09 02:51:51
BRL,5.18,2026-06-09 02:51:51
BSD,1.0,2026-06-09 02:51:51
BTN,95.74,2026-06-09 02:51:51
BWP,13.81,2026-06-09 02:51:51
BYN,2.8,2026-06-09 02:51:51
BZD,2.0,2026-06-09 02:51:51
CAD,1.39,2026-06-09 02:51:51
CDF,2287.74,2026-06-09 02:51:51
CHF,0.798,2026-06-09 02:51:51
CLF,0.0231,2026-06-09 02:51:51
CLP,914.38,2026-06-09 02:51:51
CNH,6.78,2026-06-09 02:51:51
CNY,6.79,2026-06-09 02:51:51
COP,3602.82,2026-06-09 02:51:51
CRC,459.74,2026-06-09 02:51:51
CUP,24.0,2026-06-09 02:51:51
CVE,95.63,2026-06-09 02:51:51
CZK,20.98,2026-06-09 02:51:51
DJF,177.72,2026-06-09 02:51:51
DKK,6.47,2026-06-09 02:51:51
DOP,58.16,2026-06-09 02:51:51
DZD,133.6,2026-06-09 02:51:51
EGP,52.09,2026-06-09 02:51:51
ERN,15.0,2026-06-09 02:51:51
ETB,159.32,2026-06-09 02:51:51
EUR,0.867,2026-06-09 02:51:51
FJD,2.21,2026-06-09 02:51:51
FKP,0.75,2026-06-09 02:51:51
FOK,6.47,2026-06-09 02:51:51
GBP,0.75,2026-06-09 02:51:51
GEL,2.66,2026-06-09 02:51:51
GGP,0.75,2026-06-09 02:51:51
GHS,11.81,2026-06-09 02:51:51
GIP,0.75,2026-06-09 02:51:51
GMD,74.18,2026-06-09 02:51:51
GNF,8771.7,2026-06-09 02:51:51
GTQ,7.61,2026-06-09 02:51:51
GYD,209.14,2026-06-09 02:51:51
HKD,7.84,2026-06-09 02:51:51
HNL,26.59,2026-06-09 02:51:51
HRK,6.53,2026-06-09 02:51:51
HTG,130.72,2026-06-09 02:51:51
HUF,308.42,2026-06-09 02:51:51
IDR,18159.61,2026-06-09 02:51:51
ILS,2.94,2026-06-09 02:51:51
IMP,0.75,2026-06-09 02:51:51
INR,95.74,2026-06-09 02:51:51
IQD,1312.8,2026-06-09 02:51:51
IRR,1338577.27,2026-06-09 02:51:51
ISK,124.44,2026-06-09 02:51:51
JEP,0.75,2026-06-09 02:51:51
JMD,157.74,2026-06-09 02:51:51
JOD,0.709,2026-06-09 02:51:51
JPY,160.14,2026-06-09 02:51:51
KES,129.22,2026-06-09 02:51:51
KGS,87.46,2026-06-09 02:51:51
KHR,4040.95,2026-06-09 02:51:51
KID,1.42,2026-06-09 02:51:51
KMF,426.66,2026-06-09 02:51:51
KRW,1529.02,2026-06-09 02:51:51
KWD,0.309,2026-06-09 02:51:51
KYD,0.833,2026-06-09 02:51:51
KZT,486.45,2026-06-09 02:51:51
LAK,21918.92,2026-06-09 02:51:51
LBP,89500.0,2026-06-09 02:51:51
LKR,336.39,2026-06-09 02:51:51
LRD,182.22,2026-06-09 02:51:51
LSL,16.51,2026-06-09 02:51:51
LYD,6.36,2026-06-09 02:51:51
MAD,9.24,2026-06-09 02:51:51
MDL,17.31,2026-06-09 02:51:51
MGA,4207.17,2026-06-09 02:51:51
MKD,52.98,2026-06-09 02:51:51
MMK,2098.15,2026-06-09 02:51:51
MNT,3555.6,2026-06-09 02:51:51
MOP,8.07,2026-06-09 02:51:51
MRU,39.99,2026-06-09 02:51:51
MUR,47.8,2026-06-09 02:51:51
MVR,15.43,2026-06-09 02:51:51
MWK,1744.17,2026-06-09 02:51:51
MXN,17.45,2026-06-09 02:51:51
MYR,4.07,2026-06-09 02:51:51
MZN,63.55,2026-06-09 02:51:51
NAD,16.51,2026-06-09 02:51:51
NGN,1360.71,2026-06-09 02:51:51
NIO,36.7,2026-06-09 02:51:51
NOK,9.47,2026-06-09 02:51:51
NPR,153.18,2026-06-09 02:51:51
NZD,1.72,2026-06-09 02:51:51
OMR,0.384,2026-06-09 02:51:51
PAB,1.0,2026-06-09 02:51:51
PEN,3.47,2026-06-09 02:51:51
PGK,4.4,2026-06-09 02:51:51
PHP,61.67,2026-06-09 02:51:51
PKR,278.17,2026-06-09 02:51:51
PLN,3.68,2026-06-09 02:51:51
PYG,6105.05,2026-06-09 02:51:51
QAR,3.64,2026-06-09 02:51:51
RON,4.54,2026-06-09 02:51:51
RSD,101.75,2026-06-09 02:51:51
RUB,73.12,2026-06-09 02:51:51
RWF,1467.8,2026-06-09 02:51:51
SAR,3.75,2026-06-09 02:51:51
SBD,7.98,2026-06-09 02:51:51
SCR,14.31,2026-06-09 02:51:51
SDG,454.17,2026-06-09 02:51:51
SEK,9.43,2026-06-09 02:51:51
SGD,1.29,2026-06-09 02:51:51
SHP,0.75,2026-06-09 02:51:51
SLE,24.56,2026-06-09 02:51:51
SLL,24557.05,2026-06-09 02:51:51
SOS,571.07,2026-06-09 02:51:51
SRD,37.32,2026-06-09 02:51:51
SSP,4710.59,2026-06-09 02:51:51
STN,21.25,2026-06-09 02:51:51
SYP,112.19,2026-06-09 02:51:51
SZL,16.51,2026-06-09 02:51:51
THB,32.83,2026-06-09 02:51:51
TJS,9.31,2026-06-09 02:51:51
TMT,3.5,2026-06-09 02:51:51
TND,2.92,2026-06-09 02:51:51
TOP,2.36,2026-06-09 02:51:51
TRY,46.11,2026-06-09 02:51:51
TTD,6.75,2026-06-09 02:51:51
TVD,1.42,2026-06-09 02:51:51
TWD,31.58,2026-06-09 02:51:51
TZS,2617.19,2026-06-09 02:51:51
UAH,44.5,2026-06-09 02:51:51
UGX,3738.73,2026-06-09 02:51:51
UYU,40.28,2026-06-09 02:51:51
UZS,11959.21,2026-06-09 02:51:51
VES,567.68,2026-06-09 02:51:51
VND,26217.99,2026-06-09 02:51:51
VUV,118.75,2026-06-09 02:51:51
WST,2.7,2026-06-09 02:51:51
XAF,568.87,2026-06-09 02:51:51
XCD,2.7,2026-06-09 02:51:51
XCG,1.79,2026-06-09 02:51:51
XDR,0.736,2026-06-09 02:51:51
XOF,568.87,2026-06-09 02:51:51
XPF,103.49,2026-06-09 02:51:51
YER,238.22,2026-06-09 02:51:51
ZAR,16.51,2026-06-09 02:51:51
ZMW,17.65,2026-06-09 02:51:51
ZWG,26.8,2026-06-09 02:51:51
ZWL,26.8,2026-06-09 02:51:51
