currency,rate,timestamp
USD,1.0,2026-08-08 01:19:41
AED,3.67,2026-08-08 01:19:41
AFN,65.81,2026-08-08 01:19:41
ALL,80.79,2026-08-08 01:19:41
AMD,366.08,2026-08-08 01:19:41
ANG,1.79,2026-08-08 01:19:41
AOA,927.15,2026-08-08 01:19:41
ARS,1498.44,2026-08-08 01:19:41
AUD,1.42,2026-08-08 01:19:41
AWG,1.79,2026-08-08 01:19:41
AZN,1.7,2026-08-08 01:19:41
BAM,1.69,2026-08-08 01:19:41
BBD,2.0,2026-08-08 01:19:41
BDT,123.77,2026-08-08 01:19:41
BGN,1.69,2026-08-08 01:19:41
BHD,0.376,2026-08-08 01:19:41
BIF,2994.19,2026-08-08 01:19:41
BMD,1.0,2026-08-08 01:19:41
BND,1.28,2026-08-08 01:19:41
BOB,12.12,2026-08-08 01:19:41
BRL,5.11,2026-08-08 01:19:41
BSD,1.0,2026-08-08 01:19:41
BTN,95.24,2026-08-08 01:19:41
BWP,13.9,2026-08-08 01:19:41
BYN,2.96,2026-08-08 01:19:41
BZD,2.0,2026-08-08 01:19:41
CAD,1.4,2026-08-08 01:19:41
CDF,2271.48,2026-08-08 01:19:41
CHF,0.809,2026-08-08 01:19:41
CLF,0.0232,2026-08-08 01:19:41
CLP,915.59,2026-08-08 01:19:41
CNH,6.75,2026-08-08 01:19:41
CNY,6.76,2026-08-08 01:19:41
COP,3180.39,2026-08-08 01:19:41
CRC,454.41,2026-08-08 01:19:41
CUP,24.0,2026-08-08 01:19:41
CVE,95.45,2026-08-08 01:19:41
CZK,21.01,2026-08-08 01:19:41
DJF,177.72,2026-08-08 01:19:41
DKK,6.46,2026-08-08 01:19:41
DOP,58.29,2026-08-08 01:19:41
DZD,132.96,2026-08-08 01:19:41
EGP,49.79,2026-08-08 01:19:41
ERN,15.0,2026-08-08 01:19:41
ETB,161.31,2026-08-08 01:19:41
EUR,0.866,2026-08-08 01:19:41
FJD,2.21,2026-08-08 01:19:41
FKP,0.742,2026-08-08 01:19:41
FOK,6.46,2026-08-08 01:19:41
GBP,0.742,2026-08-08 01:19:41
GEL,2.62,2026-08-08 01:19:41
GGP,0.742,2026-08-08 01:19:41
GHS,11.76,2026-08-08 01:19:41
GIP,0.742,2026-08-08 01:19:41
GMD,74.47,2026-08-08 01:19:41
GNF,8782.14,2026-08-08 01:19:41
GTQ,7.63,2026-08-08 01:19:41
GYD,209.28,2026-08-08 01:19:41
HKD,7.85,2026-08-08 01:19:41
HNL,26.82,2026-08-08 01:19:41
HRK,6.52,2026-08-08 01:19:41
HTG,130.77,2026-08-08 01:19:41
HUF,314.94,2026-08-08 01:19:41
IDR,17863.33,2026-08-08 01:19:41
ILS,3.0,2026-08-08 01:19:41
IMP,0.742,2026-08-08 01:19:41
INR,95.24,2026-08-08 01:19:41
IQD,1311.99,2026-08-08 01:19:41
IRR,1319199.24,2026-08-08 01:19:41
ISK,123.51,2026-08-08 01:19:41
JEP,0.742,2026-08-08 01:19:41
JMD,158.5,2026-08-08 01:19:41
JOD,0.709,2026-08-08 01:19:41
JPY,157.86,2026-08-08 01:19:41
KES,129.43,2026-08-08 01:19:41
KGS,87.49,2026-08-08 01:19:41
