currency,rate,timestamp
USD,1.0,2026-05-26 02:53:49
AED,3.67,2026-05-26 02:53:49
AFN,63.5,2026-05-26 02:53:49
ALL,82.08,2026-05-26 02:53:49
AMD,367.8,2026-05-26 02:53:49
ANG,1.79,2026-05-26 02:53:49
AOA,926.18,2026-05-26 02:53:49
ARS,1393.5,2026-05-26 02:53:49
AUD,1.39,2026-05-26 02:53:49
AWG,1.79,2026-05-26 02:53:49
AZN,1.7,2026-05-26 02:53:49
BAM,1.68,2026-05-26 02:53:49
BBD,2.0,2026-05-26 02:53:49
BDT,122.71,2026-05-26 02:53:49
BGN,1.68,2026-05-26 02:53:49
BHD,0.376,2026-05-26 02:53:49
BIF,2983.97,2026-05-26 02:53:49
BMD,1.0,2026-05-26 02:53:49
BND,1.28,2026-05-26 02:53:49
BOB,6.9,2026-05-26 02:53:49
BRL,5.01,2026-05-26 02:53:49
BSD,1.0,2026-05-26 02:53:49
BTN,95.33,2026-05-26 02:53:49
BWP,13.76,2026-05-26 02:53:49
BYN,2.75,2026-05-26 02:53:49
BZD,2.0,2026-05-26 02:53:49
CAD,1.38,2026-05-26 02:53:49
CDF,2267.71,2026-05-26 02:53:49
CHF,0.783,2026-05-26 02:53:49
CLF,0.0228,2026-05-26 02:53:49
CLP,900.48,2026-05-26 02:53:49
CNH,6.78,2026-05-26 02:53:49
CNY,6.8,2026-05-26 02:53:49
COP,3687.56,2026-05-26 02:53:49
CRC,452.86,2026-05-26 02:53:49
CUP,24.0,2026-05-26 02:53:49
CVE,94.73,2026-05-26 02:53:49
CZK,20.84,2026-05-26 02:53:49
DJF,177.72,2026-05-26 02:53:49
DKK,6.41,2026-05-26 02:53:49
DOP,58.76,2026-05-26 02:53:49
DZD,133.08,2026-05-26 02:53:49
EGP,52.26,2026-05-26 02:53:49
ERN,15.0,2026-05-26 02:53:49
ETB,157.29,2026-05-26 02:53:49
EUR,0.859,2026-05-26 02:53:49
FJD,2.2,2026-05-26 02:53:49
FKP,0.741,2026-05-26 02:53:49
FOK,6.41,2026-05-26 02:53:49
GBP,0.741,2026-05-26 02:53:49
GEL,2.67,2026-05-26 02:53:49
GGP,0.741,2026-05-26 02:53:49
