currency,rate,timestamp
USD,1.0,2026-09-02 02:46:41
AED,3.67,2026-09-02 02:46:41
AFN,65.13,2026-09-02 02:46:41
ALL,79.59,2026-09-02 02:46:41
AMD,364.28,2026-09-02 02:46:41
ANG,1.79,2026-09-02 02:46:41
AOA,926.86,2026-09-02 02:46:41
ARS,1512.73,2026-09-02 02:46:41
AUD,1.4,2026-09-02 02:46:41
AWG,1.79,2026-09-02 02:46:41
AZN,1.7,2026-09-02 02:46:41
BAM,1.69,2026-09-02 02:46:41
BBD,2.0,2026-09-02 02:46:41
BDT,122.69,2026-09-02 02:46:41
BGN,1.69,2026-09-02 02:46:41
BHD,0.376,2026-09-02 02:46:41
BIF,2993.41,2026-09-02 02:46:41
BMD,1.0,2026-09-02 02:46:41
BND,1.27,2026-09-02 02:46:41
BOB,11.88,2026-09-02 02:46:41
BRL,5.18,2026-09-02 02:46:41
BSD,1.0,2026-09-02 02:46:41
BTN,95.0,2026-09-02 02:46:41
BWP,13.77,2026-09-02 02:46:41
BYN,3.08,2026-09-02 02:46:41
BZD,2.0,2026-09-02 02:46:41
CAD,1.39,2026-09-02 02:46:41
CDF,2294.6,2026-09-02 02:46:41
CHF,0.811,2026-09-02 02:46:41
CLF,0.0236,2026-09-02 02:46:41
CLP,934.54,2026-09-02 02:46:41
CNH,6.72,2026-09-02 02:46:41
CNY,6.74,2026-09-02 02:46:41
COP,3212.46,2026-09-02 02:46:41
CRC,452.66,2026-09-02 02:46:41
CUP,24.0,2026-09-02 02:46:41
CVE,95.1,2026-09-02 02:46:41
CZK,20.86,2026-09-02 02:46:41
DJF,177.72,2026-09-02 02:46:41
DKK,6.45,2026-09-02 02:46:41
DOP,58.89,2026-09-02 02:46:41
DZD,133.37,2026-09-02 02:46:41
EGP,50.92,2026-09-02 02:46:41
ERN,15.0,2026-09-02 02:46:41
ETB,161.44,2026-09-02 02:46:41
EUR,0.863,2026-09-02 02:46:41
FJD,2.2,2026-09-02 02:46:41
FKP,0.739,2026-09-02 02:46:41
FOK,6.45,2026-09-02 02:46:41
GBP,0.739,2026-09-02 02:46:41
GEL,2.62,2026-09-02 02:46:41
GGP,0.739,2026-09-02 02:46:41
GHS,11.27,2026-09-02 02:46:41
GIP,0.739,2026-09-02 02:46:41
GMD,75.04,2026-09-02 02:46:41
GNF,8784.65,2026-09-02 02:46:41
GTQ,7.63,2026-09-02 02:46:41
GYD,209.23,2026-09-02 02:46:41
HKD,7.84,2026-09-02 02:46:41
HNL,26.85,2026-09-02 02:46:41
HRK,6.5,2026-09-02 02:46:41
HTG,130.7,2026-09-02 02:46:41
HUF,317.08,2026-09-02 02:46:41
IDR,17765.0,2026-09-02 02:46:41
ILS,3.03,2026-09-02 02:46:41
IMP,0.739,2026-09-02 02:46:41
INR,95.0,2026-09-02 02:46:41
IQD,1312.58,2026-09-02 02:46:41
IRR,1341935.02,2026-09-02 02:46:41
ISK,121.32,2026-09-02 02:46:41
JEP,0.739,2026-09-02 02:46:41
JMD,158.16,2026-09-02 02:46:41
JOD,0.709,2026-09-02 02:46:41
JPY,160.11,2026-09-02 02:46:41
KES,129.48,2026-09-02 02:46:41
KGS,87.51,2026-09-02 02:46:41
KHR,4041.53,2026-09-02 02:46:41
KID,1.4,2026-09-02 02:46:41
KMF,424.33,2026-09-02 02:46:41
