currency,rate,timestamp
USD,1.0,2026-05-21 13:56:22
AED,3.67,2026-05-21 13:56:22
AFN,63.48,2026-05-21 13:56:22
ALL,82.24,2026-05-21 13:56:22
AMD,368.06,2026-05-21 13:56:22
ANG,1.79,2026-05-21 13:56:22
AOA,924.05,2026-05-21 13:56:22
ARS,1398.83,2026-05-21 13:56:22
AUD,1.4,2026-05-21 13:56:22
AWG,1.79,2026-05-21 13:56:22
AZN,1.7,2026-05-21 13:56:22
BAM,1.68,2026-05-21 13:56:22
BBD,2.0,2026-05-21 13:56:22
BDT,122.82,2026-05-21 13:56:22
BGN,1.68,2026-05-21 13:56:22
BHD,0.376,2026-05-21 13:56:22
BIF,2980.77,2026-05-21 13:56:22
BMD,1.0,2026-05-21 13:56:22
BND,1.28,2026-05-21 13:56:22
BOB,6.92,2026-05-21 13:56:22
BRL,5.03,2026-05-21 13:56:22
BSD,1.0,2026-05-21 13:56:22
BTN,96.82,2026-05-21 13:56:22
BWP,13.79,2026-05-21 13:56:22
BYN,2.74,2026-05-21 13:56:22
BZD,2.0,2026-05-21 13:56:22
CAD,1.37,2026-05-21 13:56:22
CDF,2264.28,2026-05-21 13:56:22
CHF,0.788,2026-05-21 13:56:22
CLF,0.0229,2026-05-21 13:56:22
CLP,906.82,2026-05-21 13:56:22
CNH,6.8,2026-05-21 13:56:22
CNY,6.81,2026-05-21 13:56:22
COP,3788.38,2026-05-21 13:56:22
CRC,452.0,2026-05-21 13:56:22
CUP,24.0,2026-05-21 13:56:22
CVE,94.94,2026-05-21 13:56:22
CZK,20.94,2026-05-21 13:56:22
DJF,177.72,2026-05-21 13:56:22
DKK,6.43,2026-05-21 13:56:22
DOP,58.78,2026-05-21 13:56:22
DZD,132.71,2026-05-21 13:56:22
EGP,53.39,2026-05-21 13:56:22
ERN,15.0,2026-05-21 13:56:22
ETB,156.05,2026-05-21 13:56:22
EUR,0.861,2026-05-21 13:56:22
FJD,2.21,2026-05-21 13:56:22
FKP,0.745,2026-05-21 13:56:22
FOK,6.43,2026-05-21 13:56:22
GBP,0.745,2026-05-21 13:56:22
GEL,2.67,2026-05-21 13:56:22
GGP,0.745,2026-05-21 13:56:22
GHS,11.52,2026-05-21 13:56:22
GIP,0.745,2026-05-21 13:56:22
GMD,74.15,2026-05-21 13:56:22
GNF,8760.68,2026-05-21 13:56:22
GTQ,7.62,2026-05-21 13:56:22
GYD,209.03,2026-05-21 13:56:22
HKD,7.83,2026-05-21 13:56:22
HNL,26.57,2026-05-21 13:56:22
HRK,6.49,2026-05-21 13:56:22
HTG,130.88,2026-05-21 13:56:22
HUF,310.31,2026-05-21 13:56:22
IDR,17645.43,2026-05-21 13:56:22
ILS,2.91,2026-05-21 13:56:22
IMP,0.745,2026-05-21 13:56:22
INR,96.82,2026-05-21 13:56:22
IQD,1309.63,2026-05-21 13:56:22
IRR,1245683.14,2026-05-21 13:56:22
ISK,123.63,2026-05-21 13:56:22
JEP,0.745,2026-05-21 13:56:22
JMD,157.92,2026-05-21 13:56:22
JOD,0.709,2026-05-21 13:56:22
JPY,158.92,2026-05-21 13:56:22
KES,129.33,2026-05-21 13:56:22
KGS,87.44,2026-05-21 13:56:22
KHR,4026.83,2026-05-21 13:56:22
KID,1.4,2026-05-21 13:56:22
KMF,423.6,2026-05-21 13:56:22
KRW,1501.66,2026-05-21 13:56:22
KWD,0.308,2026-05-21 13:56:22
KYD,0.833,2026-05-21 13:56:22
KZT,471.68,2026-05-21 13:56:22
LAK,21883.96,2026-05-21 13:56:22
LBP,89500.0,2026-05-21 13:56:22
LKR,334.57,2026-05-21 13:56:22
LRD,182.78,2026-05-21 13:56:22
LSL,16.49,2026-05-21 13:56:22
LYD,6.37,2026-05-21 13:56:22
MAD,9.23,2026-05-21 13:56:22
MDL,17.31,2026-05-21 13:56:22
MGA,4194.62,2026-05-21 13:56:22
MKD,53.1,2026-05-21 13:56:22
MMK,2098.27,2026-05-21 13:56:22
MNT,3570.68,2026-05-21 13:56:22
MOP,8.07,2026-05-21 13:56:22
MRU,40.08,2026-05-21 13:56:22
MUR,47.35,2026-05-21 13:56:22
MVR,15.44,2026-05-21 13:56:22
MWK,1738.99,2026-05-21 13:56:22
MXN,17.33,2026-05-21 13:56:22
MYR,3.97,2026-05-21 13:56:22
MZN,63.64,2026-05-21 13:56:22
NAD,16.49,2026-05-21 13:56:22
NGN,1371.48,2026-05-21 13:56:22
NIO,36.77,2026-05-21 13:56:22
NOK,9.27,2026-05-21 13:56:22
NPR,154.92,2026-05-21 13:56:22
NZD,1.71,2026-05-21 13:56:22
OMR,0.384,2026-05-21 13:56:22
PAB,1.0,2026-05-21 13:56:22
PEN,3.42,2026-05-21 13:56:22
PGK,4.37,2026-05-21 13:56:22
PHP,61.57,2026-05-21 13:56:22
