currency,rate,timestamp
USD,1.0,2026-08-13 01:43:54
AED,3.67,2026-08-13 01:43:54
AFN,65.11,2026-08-13 01:43:54
ALL,80.62,2026-08-13 01:43:54
AMD,366.02,2026-08-13 01:43:54
ANG,1.79,2026-08-13 01:43:54
AOA,923.71,2026-08-13 01:43:54
ARS,1492.55,2026-08-13 01:43:54
AUD,1.42,2026-08-13 01:43:54
AWG,1.79,2026-08-13 01:43:54
AZN,1.7,2026-08-13 01:43:54
BAM,1.7,2026-08-13 01:43:54
BBD,2.0,2026-08-13 01:43:54
BDT,123.23,2026-08-13 01:43:54
BGN,1.7,2026-08-13 01:43:54
BHD,0.376,2026-08-13 01:43:54
BIF,2990.55,2026-08-13 01:43:54
BMD,1.0,2026-08-13 01:43:54
BND,1.28,2026-08-13 01:43:54
BOB,11.87,2026-08-13 01:43:54
BRL,5.16,2026-08-13 01:43:54
BSD,1.0,2026-08-13 01:43:54
BTN,95.41,2026-08-13 01:43:54
BWP,13.68,2026-08-13 01:43:54
BYN,2.98,2026-08-13 01:43:54
BZD,2.0,2026-08-13 01:43:54
CAD,1.39,2026-08-13 01:43:54
CDF,2281.76,2026-08-13 01:43:54
CHF,0.813,2026-08-13 01:43:54
CLF,0.0231,2026-08-13 01:43:54
CLP,913.71,2026-08-13 01:43:54
CNH,6.74,2026-08-13 01:43:54
CNY,6.76,2026-08-13 01:43:54
COP,3131.99,2026-08-13 01:43:54
CRC,453.99,2026-08-13 01:43:54
CUP,24.0,2026-08-13 01:43:54
CVE,95.61,2026-08-13 01:43:54
CZK,21.02,2026-08-13 01:43:54
DJF,177.72,2026-08-13 01:43:54
DKK,6.47,2026-08-13 01:43:54
DOP,58.32,2026-08-13 01:43:54
DZD,132.86,2026-08-13 01:43:54
EGP,50.21,2026-08-13 01:43:54
ERN,15.0,2026-08-13 01:43:54
ETB,161.34,2026-08-13 01:43:54
EUR,0.867,2026-08-13 01:43:54
FJD,2.21,2026-08-13 01:43:54
FKP,0.741,2026-08-13 01:43:54
FOK,6.47,2026-08-13 01:43:54
GBP,0.741,2026-08-13 01:43:54
GEL,2.62,2026-08-13 01:43:54
GGP,0.741,2026-08-13 01:43:54
GHS,11.58,2026-08-13 01:43:54
GIP,0.741,2026-08-13 01:43:54
GMD,74.71,2026-08-13 01:43:54
GNF,8779.43,2026-08-13 01:43:54
GTQ,7.63,2026-08-13 01:43:54
GYD,209.26,2026-08-13 01:43:54
HKD,7.85,2026-08-13 01:43:54
HNL,26.8,2026-08-13 01:43:54
HRK,6.53,2026-08-13 01:43:54
HTG,130.81,2026-08-13 01:43:54
HUF,315.75,2026-08-13 01:43:54
IDR,17872.58,2026-08-13 01:43:54
ILS,2.98,2026-08-13 01:43:54
IMP,0.741,2026-08-13 01:43:54
INR,95.41,2026-08-13 01:43:54
IQD,1311.07,2026-08-13 01:43:54
IRR,1352774.94,2026-08-13 01:43:54
ISK,123.06,2026-08-13 01:43:54
JEP,0.741,2026-08-13 01:43:54
JMD,158.12,2026-08-13 01:43:54
JOD,0.709,2026-08-13 01:43:54
JPY,159.29,2026-08-13 01:43:54
KES,129.24,2026-08-13 01:43:54
KGS,87.5,2026-08-13 01:43:54
KHR,4046.89,2026-08-13 01:43:54
KID,1.42,2026-08-13 01:43:54
KMF,426.57,2026-08-13 01:43:54
KRW,1416.77,2026-08-13 01:43:54
KWD,0.308,2026-08-13 01:43:54
KYD,0.833,2026-08-13 01:43:54
KZT,465.47,2026-08-13 01:43:54
LAK,22411.78,2026-08-13 01:43:54
LBP,89500.0,2026-08-13 01:43:54
LKR,333.97,2026-08-13 01:43:54
LRD,181.47,2026-08-13 01:43:54
LSL,16.14,2026-08-13 01:43:54
LYD,6.36,2026-08-13 01:43:54
MAD,9.3,2026-08-13 01:43:54
MDL,17.33,2026-08-13 01:43:54
MGA,4310.12,2026-08-13 01:43:54
MKD,53.34,2026-08-13 01:43:54
MMK,2100.04,2026-08-13 01:43:54
MNT,3624.16,2026-08-13 01:43:54
MOP,8.08,2026-08-13 01:43:54
MRU,40.2,2026-08-13 01:43:54
MUR,47.04,2026-08-13 01:43:54
MVR,15.45,2026-08-13 01:43:54
MWK,1739.93,2026-08-13 01:43:54
MXN,17.06,2026-08-13 01:43:54
MYR,4.09,2026-08-13 01:43:54
MZN,63.75,2026-08-13 01:43:54
NAD,16.14,2026-08-13 01:43:54
NGN,1360.25,2026-08-13 01:43:54
NIO,36.79,2026-08-13 01:43:54
NOK,9.49,2026-08-13 01:43:54
NPR,152.66,2026-08-13 01:43:54
NZD,1.71,2026-08-13 01:43:54
OMR,0.384,2026-08-13 01:43:54
PAB,1.0,2026-08-13 01:43:54
PEN,3.37,2026-08-13 01:43:54
PGK,4.43,2026-08-13 01:43:54
PHP,61.25,2026-08-13 01:43:54
PKR,277.86,2026-08-13 01:43:54
PLN,3.73,2026-08-13 01:43:54
PYG,5972.45,2026-08-13 01:43:54
QAR,3.64,2026-08-13 01:43:54
