currency,rate,timestamp
USD,1.0,2026-06-02 03:41:33
AED,3.67,2026-06-02 03:41:33
AFN,63.55,2026-06-02 03:41:33
ALL,81.91,2026-06-02 03:41:33
AMD,368.52,2026-06-02 03:41:33
ANG,1.79,2026-06-02 03:41:33
AOA,924.94,2026-06-02 03:41:33
ARS,1421.47,2026-06-02 03:41:33
AUD,1.4,2026-06-02 03:41:33
AWG,1.79,2026-06-02 03:41:33
AZN,1.7,2026-06-02 03:41:33
BAM,1.68,2026-06-02 03:41:33
BBD,2.0,2026-06-02 03:41:33
BDT,122.74,2026-06-02 03:41:33
BGN,1.68,2026-06-02 03:41:33
BHD,0.376,2026-06-02 03:41:33
BIF,2984.3,2026-06-02 03:41:33
BMD,1.0,2026-06-02 03:41:33
BND,1.28,2026-06-02 03:41:33
BOB,6.92,2026-06-02 03:41:33
BRL,5.03,2026-06-02 03:41:33
BSD,1.0,2026-06-02 03:41:33
BTN,95.1,2026-06-02 03:41:33
BWP,13.79,2026-06-02 03:41:33
BYN,2.76,2026-06-02 03:41:33
BZD,2.0,2026-06-02 03:41:33
CAD,1.38,2026-06-02 03:41:33
CDF,2264.89,2026-06-02 03:41:33
CHF,0.786,2026-06-02 03:41:33
CLF,0.0225,2026-06-02 03:41:33
CLP,889.85,2026-06-02 03:41:33
CNH,6.76,2026-06-02 03:41:33
CNY,6.78,2026-06-02 03:41:33
COP,3692.26,2026-06-02 03:41:33
CRC,453.67,2026-06-02 03:41:33
CUP,24.0,2026-06-02 03:41:33
CVE,94.78,2026-06-02 03:41:33
CZK,20.86,2026-06-02 03:41:33
DJF,177.72,2026-06-02 03:41:33
DKK,6.41,2026-06-02 03:41:33
DOP,58.62,2026-06-02 03:41:33
DZD,132.69,2026-06-02 03:41:33
EGP,52.03,2026-06-02 03:41:33
ERN,15.0,2026-06-02 03:41:33
ETB,158.02,2026-06-02 03:41:33
EUR,0.86,2026-06-02 03:41:33
FJD,2.21,2026-06-02 03:41:33
FKP,0.743,2026-06-02 03:41:33
FOK,6.41,2026-06-02 03:41:33
GBP,0.743,2026-06-02 03:41:33
GEL,2.66,2026-06-02 03:41:33
GGP,0.743,2026-06-02 03:41:33
GHS,11.77,2026-06-02 03:41:33
GIP,0.743,2026-06-02 03:41:33
GMD,74.21,2026-06-02 03:41:33
GNF,8765.06,2026-06-02 03:41:33
GTQ,7.63,2026-06-02 03:41:33
GYD,209.2,2026-06-02 03:41:33
HKD,7.84,2026-06-02 03:41:33
HNL,26.62,2026-06-02 03:41:33
HRK,6.48,2026-06-02 03:41:33
HTG,130.85,2026-06-02 03:41:33
HUF,305.26,2026-06-02 03:41:33
IDR,17876.62,2026-06-02 03:41:33
