currency,rate,timestamp
USD,1.0,2026-08-23 01:07:47
AED,3.67,2026-08-23 01:07:47
AFN,64.54,2026-08-23 01:07:47
ALL,79.12,2026-08-23 01:07:47
AMD,361.76,2026-08-23 01:07:47
ANG,1.79,2026-08-23 01:07:47
AOA,916.63,2026-08-23 01:07:47
ARS,1497.45,2026-08-23 01:07:47
AUD,1.4,2026-08-23 01:07:47
AWG,1.79,2026-08-23 01:07:47
AZN,1.69,2026-08-23 01:07:47
BAM,1.67,2026-08-23 01:07:47
BBD,2.0,2026-08-23 01:07:47
BDT,121.6,2026-08-23 01:07:47
BGN,1.67,2026-08-23 01:07:47
BHD,0.376,2026-08-23 01:07:47
BIF,2966.62,2026-08-23 01:07:47
BMD,1.0,2026-08-23 01:07:47
BND,1.27,2026-08-23 01:07:47
BOB,11.44,2026-08-23 01:07:47
BRL,5.19,2026-08-23 01:07:47
BSD,1.0,2026-08-23 01:07:47
BTN,95.74,2026-08-23 01:07:47
BWP,13.45,2026-08-23 01:07:47
BYN,3.0,2026-08-23 01:07:47
BZD,2.0,2026-08-23 01:07:47
CAD,1.38,2026-08-23 01:07:47
CDF,2276.52,2026-08-23 01:07:47
CHF,0.801,2026-08-23 01:07:47
CLF,0.0233,2026-08-23 01:07:47
CLP,921.93,2026-08-23 01:07:47
CNH,6.72,2026-08-23 01:07:47
CNY,6.74,2026-08-23 01:07:47
COP,3058.67,2026-08-23 01:07:47
CRC,443.94,2026-08-23 01:07:47
CUP,24.0,2026-08-23 01:07:47
CVE,94.39,2026-08-23 01:07:47
CZK,20.64,2026-08-23 01:07:47
DJF,177.72,2026-08-23 01:07:47
DKK,6.4,2026-08-23 01:07:47
DOP,58.19,2026-08-23 01:07:47
DZD,131.66,2026-08-23 01:07:47
EGP,50.88,2026-08-23 01:07:47
ERN,15.0,2026-08-23 01:07:47
ETB,160.57,2026-08-23 01:07:47
EUR,0.856,2026-08-23 01:07:47
FJD,2.19,2026-08-23 01:07:47
FKP,0.733,2026-08-23 01:07:47
FOK,6.4,2026-08-23 01:07:47
GBP,0.733,2026-08-23 01:07:47
GEL,2.59,2026-08-23 01:07:47
GGP,0.733,2026-08-23 01:07:47
GHS,10.96,2026-08-23 01:07:47
GIP,0.733,2026-08-23 01:07:47
GMD,74.14,2026-08-23 01:07:47
GNF,8707.34,2026-08-23 01:07:47
GTQ,7.56,2026-08-23 01:07:47
GYD,207.05,2026-08-23 01:07:47
HKD,7.84,2026-08-23 01:07:47
HNL,26.56,2026-08-23 01:07:47
HRK,6.45,2026-08-23 01:07:47
HTG,129.97,2026-08-23 01:07:47
HUF,310.52,2026-08-23 01:07:47
IDR,17683.59,2026-08-23 01:07:47
ILS,2.99,2026-08-23 01:07:47
IMP,0.733,2026-08-23 01:07:47
INR,95.74,2026-08-23 01:07:47
IQD,1296.67,2026-08-23 01:07:47
IRR,1468703.4,2026-08-23 01:07:47
ISK,121.21,2026-08-23 01:07:47
JEP,0.733,2026-08-23 01:07:47
JMD,156.95,2026-08-23 01:07:47
JOD,0.709,2026-08-23 01:07:47
JPY,158.88,2026-08-23 01:07:47
KES,129.42,2026-08-23 01:07:47
KGS,86.82,2026-08-23 01:07:47
KHR,4000.17,2026-08-23 01:07:47
KID,1.4,2026-08-23 01:07:47
KMF,421.14,2026-08-23 01:07:47
KRW,1384.51,2026-08-23 01:07:47
KWD,0.306,2026-08-23 01:07:47
KYD,0.833,2026-08-23 01:07:47
KZT,457.8,2026-08-23 01:07:47
LAK,22208.25,2026-08-23 01:07:47
