currency,rate,timestamp
USD,1.0,2026-07-21 02:25:25
AED,3.67,2026-07-21 02:25:25
AFN,65.9,2026-07-21 02:25:25
ALL,82.02,2026-07-21 02:25:25
AMD,366.24,2026-07-21 02:25:25
ANG,1.79,2026-07-21 02:25:25
AOA,924.85,2026-07-21 02:25:25
ARS,1480.18,2026-07-21 02:25:25
AUD,1.43,2026-07-21 02:25:25
AWG,1.79,2026-07-21 02:25:25
AZN,1.7,2026-07-21 02:25:25
BAM,1.71,2026-07-21 02:25:25
BBD,2.0,2026-07-21 02:25:25
BDT,123.36,2026-07-21 02:25:25
BGN,1.71,2026-07-21 02:25:25
BHD,0.376,2026-07-21 02:25:25
BIF,2987.01,2026-07-21 02:25:25
BMD,1.0,2026-07-21 02:25:25
BND,1.29,2026-07-21 02:25:25
BOB,10.7,2026-07-21 02:25:25
BRL,5.1,2026-07-21 02:25:25
BSD,1.0,2026-07-21 02:25:25
BTN,96.52,2026-07-21 02:25:25
BWP,13.97,2026-07-21 02:25:25
BYN,2.89,2026-07-21 02:25:25
BZD,2.0,2026-07-21 02:25:25
CAD,1.41,2026-07-21 02:25:25
CDF,2274.74,2026-07-21 02:25:25
CHF,0.81,2026-07-21 02:25:25
CLF,0.0237,2026-07-21 02:25:25
CLP,934.94,2026-07-21 02:25:25
CNH,6.77,2026-07-21 02:25:25
CNY,6.78,2026-07-21 02:25:25
COP,3257.15,2026-07-21 02:25:25
CRC,453.33,2026-07-21 02:25:25
CUP,24.0,2026-07-21 02:25:25
CVE,96.57,2026-07-21 02:25:25
CZK,21.18,2026-07-21 02:25:25
DJF,177.72,2026-07-21 02:25:25
DKK,6.54,2026-07-21 02:25:25
DOP,58.54,2026-07-21 02:25:25
DZD,133.13,2026-07-21 02:25:25
EGP,51.09,2026-07-21 02:25:25
ERN,15.0,2026-07-21 02:25:25
ETB,160.61,2026-07-21 02:25:25
EUR,0.876,2026-07-21 02:25:25
FJD,2.22,2026-07-21 02:25:25
FKP,0.744,2026-07-21 02:25:25
FOK,6.54,2026-07-21 02:25:25
GBP,0.744,2026-07-21 02:25:25
GEL,2.63,2026-07-21 02:25:25
GGP,0.744,2026-07-21 02:25:25
GHS,11.6,2026-07-21 02:25:25
GIP,0.744,2026-07-21 02:25:25
GMD,74.37,2026-07-21 02:25:25
GNF,8780.88,2026-07-21 02:25:25
GTQ,7.63,2026-07-21 02:25:25
GYD,209.25,2026-07-21 02:25:25
HKD,7.84,2026-07-21 02:25:25
HNL,26.78,2026-07-21 02:25:25
HRK,6.6,2026-07-21 02:25:25
HTG,130.66,2026-07-21 02:25:25
HUF,316.69,2026-07-21 02:25:25
IDR,17968.1,2026-07-21 02:25:25
ILS,3.05,2026-07-21 02:25:25
IMP,0.744,2026-07-21 02:25:25
INR,96.53,2026-07-21 02:25:25
IQD,1309.01,2026-07-21 02:25:25
IRR,1266996.12,2026-07-21 02:25:25
ISK,125.3,2026-07-21 02:25:25
JEP,0.744,2026-07-21 02:25:25
JMD,158.49,2026-07-21 02:25:25
JOD,0.709,2026-07-21 02:25:25
JPY,162.47,2026-07-21 02:25:25
KES,129.3,2026-07-21 02:25:25
KGS,87.46,2026-07-21 02:25:25
KHR,4047.06,2026-07-21 02:25:25
KID,1.43,2026-07-21 02:25:25
KMF,430.86,2026-07-21 02:25:25
KRW,1478.63,2026-07-21 02:25:25
KWD,0.309,2026-07-21 02:25:25
KYD,0.833,2026-07-21 02:25:25
KZT,470.54,2026-07-21 02:25:25
LAK,22339.92,2026-07-21 02:25:25
LBP,89500.0,2026-07-21 02:25:25
LKR,336.1,2026-07-21 02:25:25
LRD,181.0,2026-07-21 02:25:25
LSL,16.51,2026-07-21 02:25:25
