currency,rate,timestamp
USD,1.0,2026-06-29 03:38:08
AED,3.67,2026-06-29 03:38:08
AFN,64.58,2026-06-29 03:38:08
ALL,82.74,2026-06-29 03:38:08
AMD,368.12,2026-06-29 03:38:08
ANG,1.79,2026-06-29 03:38:08
AOA,920.87,2026-06-29 03:38:08
ARS,1474.72,2026-06-29 03:38:08
AUD,1.45,2026-06-29 03:38:08
AWG,1.79,2026-06-29 03:38:08
AZN,1.7,2026-06-29 03:38:08
BAM,1.72,2026-06-29 03:38:08
BBD,2.0,2026-06-29 03:38:08
BDT,122.99,2026-06-29 03:38:08
BGN,1.72,2026-06-29 03:38:08
BHD,0.376,2026-06-29 03:38:08
BIF,2989.69,2026-06-29 03:38:08
BMD,1.0,2026-06-29 03:38:08
BND,1.29,2026-06-29 03:38:08
BOB,6.91,2026-06-29 03:38:08
BRL,5.17,2026-06-29 03:38:08
BSD,1.0,2026-06-29 03:38:08
BTN,94.49,2026-06-29 03:38:08
BWP,13.6,2026-06-29 03:38:08
BYN,2.9,2026-06-29 03:38:08
BZD,2.0,2026-06-29 03:38:08
CAD,1.42,2026-06-29 03:38:08
CDF,2305.9,2026-06-29 03:38:08
CHF,0.81,2026-06-29 03:38:08
CLF,0.0233,2026-06-29 03:38:08
CLP,921.17,2026-06-29 03:38:08
CNH,6.8,2026-06-29 03:38:08
CNY,6.8,2026-06-29 03:38:08
COP,3448.42,2026-06-29 03:38:08
CRC,454.18,2026-06-29 03:38:08
CUP,24.0,2026-06-29 03:38:08
CVE,96.84,2026-06-29 03:38:08
CZK,21.29,2026-06-29 03:38:08
DJF,177.72,2026-06-29 03:38:08
DKK,6.55,2026-06-29 03:38:08
DOP,59.11,2026-06-29 03:38:08
DZD,133.37,2026-06-29 03:38:08
EGP,49.49,2026-06-29 03:38:08
ERN,15.0,2026-06-29 03:38:08
ETB,158.99,2026-06-29 03:38:08
EUR,0.878,2026-06-29 03:38:08
FJD,2.27,2026-06-29 03:38:08
FKP,0.758,2026-06-29 03:38:08
FOK,6.55,2026-06-29 03:38:08
GBP,0.758,2026-06-29 03:38:08
GEL,2.64,2026-06-29 03:38:08
GGP,0.758,2026-06-29 03:38:08
GHS,11.27,2026-06-29 03:38:08
GIP,0.758,2026-06-29 03:38:08
GMD,74.24,2026-06-29 03:38:08
GNF,8790.1,2026-06-29 03:38:08
GTQ,7.63,2026-06-29 03:38:08
GYD,209.16,2026-06-29 03:38:08
HKD,7.84,2026-06-29 03:38:08
HNL,26.75,2026-06-29 03:38:08
HRK,6.62,2026-06-29 03:38:08
HTG,130.61,2026-06-29 03:38:08
HUF,310.74,2026-06-29 03:38:08
IDR,17885.01,2026-06-29 03:38:08
ILS,3.0,2026-06-29 03:38:08
IMP,0.758,2026-06-29 03:38:08
INR,94.49,2026-06-29 03:38:08
IQD,1310.13,2026-06-29 03:38:08
IRR,1141794.93,2026-06-29 03:38:08
ISK,126.3,2026-06-29 03:38:08
JEP,0.758,2026-06-29 03:38:08
JMD,157.32,2026-06-29 03:38:08
JOD,0.709,2026-06-29 03:38:08
JPY,161.77,2026-06-29 03:38:08
KES,129.52,2026-06-29 03:38:08
KGS,87.46,2026-06-29 03:38:08
KHR,4047.84,2026-06-29 03:38:08
KID,1.45,2026-06-29 03:38:08
KMF,432.07,2026-06-29 03:38:08
KRW,1536.79,2026-06-29 03:38:08
KWD,0.309,2026-06-29 03:38:08
KYD,0.833,2026-06-29 03:38:08
KZT,486.57,2026-06-29 03:38:08
