currency,rate,timestamp
USD,1.0,2026-09-14 03:16:45
AED,3.67,2026-09-14 03:16:45
AFN,64.77,2026-09-14 03:16:45
ALL,79.28,2026-09-14 03:16:45
AMD,363.47,2026-09-14 03:16:45
ANG,1.79,2026-09-14 03:16:45
AOA,921.39,2026-09-14 03:16:45
ARS,1509.91,2026-09-14 03:16:45
AUD,1.4,2026-09-14 03:16:45
AWG,1.79,2026-09-14 03:16:45
AZN,1.7,2026-09-14 03:16:45
BAM,1.69,2026-09-14 03:16:45
BBD,2.0,2026-09-14 03:16:45
BDT,123.33,2026-09-14 03:16:45
BGN,1.69,2026-09-14 03:16:45
BHD,0.376,2026-09-14 03:16:45
BIF,2982.9,2026-09-14 03:16:45
BMD,1.0,2026-09-14 03:16:45
BND,1.27,2026-09-14 03:16:45
BOB,12.45,2026-09-14 03:16:45
BRL,5.12,2026-09-14 03:16:45
BSD,1.0,2026-09-14 03:16:45
BTN,95.65,2026-09-14 03:16:45
BWP,13.69,2026-09-14 03:16:45
BYN,3.05,2026-09-14 03:16:45
BZD,2.0,2026-09-14 03:16:45
CAD,1.39,2026-09-14 03:16:45
CDF,2306.11,2026-09-14 03:16:45
CHF,0.817,2026-09-14 03:16:45
CLF,0.0238,2026-09-14 03:16:45
CLP,940.95,2026-09-14 03:16:45
CNH,6.71,2026-09-14 03:16:45
CNY,6.72,2026-09-14 03:16:45
COP,3085.37,2026-09-14 03:16:45
CRC,452.49,2026-09-14 03:16:45
CUP,24.0,2026-09-14 03:16:45
CVE,95.08,2026-09-14 03:16:45
CZK,20.9,2026-09-14 03:16:45
DJF,177.72,2026-09-14 03:16:45
DKK,6.45,2026-09-14 03:16:45
DOP,58.96,2026-09-14 03:16:45
DZD,133.21,2026-09-14 03:16:45
EGP,51.38,2026-09-14 03:16:45
ERN,15.0,2026-09-14 03:16:45
ETB,161.47,2026-09-14 03:16:45
EUR,0.862,2026-09-14 03:16:45
FJD,2.22,2026-09-14 03:16:45
FKP,0.74,2026-09-14 03:16:45
FOK,6.44,2026-09-14 03:16:45
GBP,0.739,2026-09-14 03:16:45
GEL,2.6,2026-09-14 03:16:45
GGP,0.74,2026-09-14 03:16:45
GHS,11.43,2026-09-14 03:16:45
GIP,0.74,2026-09-14 03:16:45
GMD,74.68,2026-09-14 03:16:45
GNF,8784.32,2026-09-14 03:16:45
GTQ,7.64,2026-09-14 03:16:45
GYD,209.26,2026-09-14 03:16:45
HKD,7.84,2026-09-14 03:16:45
HNL,26.83,2026-09-14 03:16:45
HRK,6.5,2026-09-14 03:16:45
HTG,130.68,2026-09-14 03:16:45
HUF,313.47,2026-09-14 03:16:45
IDR,17623.72,2026-09-14 03:16:45
ILS,3.03,2026-09-14 03:16:45
IMP,0.74,2026-09-14 03:16:45
INR,95.61,2026-09-14 03:16:45
IQD,1310.96,2026-09-14 03:16:45
IRR,1559473.55,2026-09-14 03:16:45
ISK,120.47,2026-09-14 03:16:45
JEP,0.74,2026-09-14 03:16:45
JMD,158.14,2026-09-14 03:16:45
JOD,0.709,2026-09-14 03:16:45
JPY,153.61,2026-09-14 03:16:45
KES,129.44,2026-09-14 03:16:45
KGS,87.48,2026-09-14 03:16:45
KHR,4037.75,2026-09-14 03:16:45
KID,1.4,2026-09-14 03:16:45
KMF,424.24,2026-09-14 03:16:45
KRW,1342.63,2026-09-14 03:16:45
KWD,0.308,2026-09-14 03:16:45
KYD,0.833,2026-09-14 03:16:45
KZT,450.94,2026-09-14 03:16:45
LAK,22258.89,2026-09-14 03:16:45
