currency,rate,timestamp
USD,1.0,2026-09-10 02:59:16
AED,3.67,2026-09-10 02:59:16
AFN,64.55,2026-09-10 02:59:16
ALL,79.08,2026-09-10 02:59:16
AMD,363.75,2026-09-10 02:59:16
ANG,1.79,2026-09-10 02:59:16
AOA,925.67,2026-09-10 02:59:16
ARS,1515.11,2026-09-10 02:59:16
AUD,1.38,2026-09-10 02:59:16
AWG,1.79,2026-09-10 02:59:16
AZN,1.7,2026-09-10 02:59:16
BAM,1.68,2026-09-10 02:59:16
BBD,2.0,2026-09-10 02:59:16
BDT,122.97,2026-09-10 02:59:16
BGN,1.68,2026-09-10 02:59:16
BHD,0.376,2026-09-10 02:59:16
BIF,2998.02,2026-09-10 02:59:16
BMD,1.0,2026-09-10 02:59:16
BND,1.26,2026-09-10 02:59:16
BOB,12.47,2026-09-10 02:59:16
BRL,5.1,2026-09-10 02:59:16
BSD,1.0,2026-09-10 02:59:16
BTN,95.12,2026-09-10 02:59:16
BWP,13.63,2026-09-10 02:59:16
BYN,3.06,2026-09-10 02:59:16
BZD,2.0,2026-09-10 02:59:16
CAD,1.38,2026-09-10 02:59:16
CDF,2304.85,2026-09-10 02:59:16
CHF,0.81,2026-09-10 02:59:16
CLF,0.0234,2026-09-10 02:59:16
CLP,923.8,2026-09-10 02:59:16
CNH,6.71,2026-09-10 02:59:16
CNY,6.73,2026-09-10 02:59:16
COP,3106.85,2026-09-10 02:59:16
CRC,454.02,2026-09-10 02:59:16
CUP,24.0,2026-09-10 02:59:16
CVE,94.78,2026-09-10 02:59:16
CZK,20.84,2026-09-10 02:59:16
DJF,177.72,2026-09-10 02:59:16
DKK,6.43,2026-09-10 02:59:16
DOP,58.79,2026-09-10 02:59:16
DZD,133.02,2026-09-10 02:59:16
EGP,51.2,2026-09-10 02:59:16
ERN,15.0,2026-09-10 02:59:16
ETB,161.13,2026-09-10 02:59:16
EUR,0.86,2026-09-10 02:59:16
FJD,2.19,2026-09-10 02:59:16
FKP,0.738,2026-09-10 02:59:16
FOK,6.43,2026-09-10 02:59:16
GBP,0.738,2026-09-10 02:59:16
GEL,2.61,2026-09-10 02:59:16
GGP,0.738,2026-09-10 02:59:16
GHS,11.41,2026-09-10 02:59:16
GIP,0.738,2026-09-10 02:59:16
GMD,74.64,2026-09-10 02:59:16
GNF,8787.45,2026-09-10 02:59:16
GTQ,7.63,2026-09-10 02:59:16
GYD,209.35,2026-09-10 02:59:16
HKD,7.84,2026-09-10 02:59:16
HNL,26.81,2026-09-10 02:59:16
HRK,6.48,2026-09-10 02:59:16
HTG,130.73,2026-09-10 02:59:16
HUF,312.63,2026-09-10 02:59:16
IDR,17505.04,2026-09-10 02:59:16
ILS,3.02,2026-09-10 02:59:16
IMP,0.738,2026-09-10 02:59:16
INR,95.12,2026-09-10 02:59:16
IQD,1311.25,2026-09-10 02:59:16
IRR,1440653.03,2026-09-10 02:59:16
ISK,120.61,2026-09-10 02:59:16
JEP,0.738,2026-09-10 02:59:16
