currency,rate,timestamp
USD,1.0,2026-07-14 02:10:37
AED,3.67,2026-07-14 02:10:37
AFN,65.64,2026-07-14 02:10:37
ALL,82.14,2026-07-14 02:10:37
AMD,367.04,2026-07-14 02:10:37
ANG,1.79,2026-07-14 02:10:37
AOA,926.22,2026-07-14 02:10:37
ARS,1486.05,2026-07-14 02:10:37
AUD,1.44,2026-07-14 02:10:37
AWG,1.79,2026-07-14 02:10:37
AZN,1.7,2026-07-14 02:10:37
BAM,1.72,2026-07-14 02:10:37
BBD,2.0,2026-07-14 02:10:37
BDT,123.36,2026-07-14 02:10:37
BGN,1.72,2026-07-14 02:10:37
BHD,0.376,2026-07-14 02:10:37
BIF,2992.43,2026-07-14 02:10:37
BMD,1.0,2026-07-14 02:10:37
BND,1.29,2026-07-14 02:10:37
BOB,10.08,2026-07-14 02:10:37
BRL,5.12,2026-07-14 02:10:37
BSD,1.0,2026-07-14 02:10:37
BTN,95.72,2026-07-14 02:10:37
BWP,13.83,2026-07-14 02:10:37
BYN,2.85,2026-07-14 02:10:37
BZD,2.0,2026-07-14 02:10:37
CAD,1.41,2026-07-14 02:10:37
CDF,2267.81,2026-07-14 02:10:37
CHF,0.813,2026-07-14 02:10:37
CLF,0.0234,2026-07-14 02:10:37
CLP,925.44,2026-07-14 02:10:37
CNH,6.78,2026-07-14 02:10:37
CNY,6.79,2026-07-14 02:10:37
COP,3243.81,2026-07-14 02:10:37
CRC,455.59,2026-07-14 02:10:37
CUP,24.0,2026-07-14 02:10:37
CVE,96.75,2026-07-14 02:10:37
CZK,21.3,2026-07-14 02:10:37
DJF,177.72,2026-07-14 02:10:37
DKK,6.55,2026-07-14 02:10:37
DOP,58.89,2026-07-14 02:10:37
DZD,133.26,2026-07-14 02:10:37
EGP,50.23,2026-07-14 02:10:37
ERN,15.0,2026-07-14 02:10:37
ETB,159.38,2026-07-14 02:10:37
EUR,0.877,2026-07-14 02:10:37
FJD,2.24,2026-07-14 02:10:37
FKP,0.748,2026-07-14 02:10:37
