currency,rate,timestamp
USD,1.0,2026-09-25 03:20:40
AED,3.67,2026-09-25 03:20:40
AFN,64.53,2026-09-25 03:20:40
ALL,80.47,2026-09-25 03:20:40
AMD,363.26,2026-09-25 03:20:40
ANG,1.79,2026-09-25 03:20:40
AOA,925.47,2026-09-25 03:20:40
ARS,1518.74,2026-09-25 03:20:40
AUD,1.43,2026-09-25 03:20:40
AWG,1.79,2026-09-25 03:20:40
AZN,1.7,2026-09-25 03:20:40
BAM,1.72,2026-09-25 03:20:40
BBD,2.0,2026-09-25 03:20:40
BDT,122.9,2026-09-25 03:20:40
BGN,1.72,2026-09-25 03:20:40
BHD,0.376,2026-09-25 03:20:40
BIF,3009.69,2026-09-25 03:20:40
BMD,1.0,2026-09-25 03:20:40
BND,1.28,2026-09-25 03:20:40
BOB,11.72,2026-09-25 03:20:40
BRL,5.18,2026-09-25 03:20:40
BSD,1.0,2026-09-25 03:20:40
BTN,96.01,2026-09-25 03:20:40
BWP,13.86,2026-09-25 03:20:40
BYN,3.04,2026-09-25 03:20:40
BZD,2.0,2026-09-25 03:20:40
CAD,1.41,2026-09-25 03:20:40
CDF,2305.03,2026-09-25 03:20:40
CHF,0.828,2026-09-25 03:20:40
CLF,0.0244,2026-09-25 03:20:40
CLP,962.56,2026-09-25 03:20:40
CNH,6.71,2026-09-25 03:20:40
CNY,6.72,2026-09-25 03:20:40
COP,3264.54,2026-09-25 03:20:40
CRC,453.41,2026-09-25 03:20:40
CUP,24.0,2026-09-25 03:20:40
CVE,96.89,2026-09-25 03:20:40
CZK,21.45,2026-09-25 03:20:40
DJF,177.72,2026-09-25 03:20:40
DKK,6.57,2026-09-25 03:20:40
DOP,59.58,2026-09-25 03:20:40
DZD,133.87,2026-09-25 03:20:40
EGP,51.7,2026-09-25 03:20:40
ERN,15.0,2026-09-25 03:20:40
ETB,162.67,2026-09-25 03:20:40
EUR,0.879,2026-09-25 03:20:40
FJD,2.23,2026-09-25 03:20:40
FKP,0.756,2026-09-25 03:20:40
FOK,6.57,2026-09-25 03:20:40
GBP,0.756,2026-09-25 03:20:40
GEL,2.62,2026-09-25 03:20:40
GGP,0.756,2026-09-25 03:20:40
GHS,11.57,2026-09-25 03:20:40
GIP,0.756,2026-09-25 03:20:40
GMD,74.36,2026-09-25 03:20:40
GNF,8790.85,2026-09-25 03:20:40
