currency,rate,timestamp
USD,1.0,2026-09-13 03:02:45
AED,3.67,2026-09-13 03:02:45
AFN,64.42,2026-09-13 03:02:45
ALL,79.15,2026-09-13 03:02:45
AMD,363.54,2026-09-13 03:02:45
ANG,1.79,2026-09-13 03:02:45
AOA,924.76,2026-09-13 03:02:45
ARS,1509.91,2026-09-13 03:02:45
AUD,1.4,2026-09-13 03:02:45
AWG,1.79,2026-09-13 03:02:45
AZN,1.7,2026-09-13 03:02:45
BAM,1.69,2026-09-13 03:02:45
BBD,2.0,2026-09-13 03:02:45
BDT,123.15,2026-09-13 03:02:45
BGN,1.69,2026-09-13 03:02:45
BHD,0.376,2026-09-13 03:02:45
BIF,3003.92,2026-09-13 03:02:45
BMD,1.0,2026-09-13 03:02:45
BND,1.27,2026-09-13 03:02:45
BOB,12.59,2026-09-13 03:02:45
BRL,5.11,2026-09-13 03:02:45
BSD,1.0,2026-09-13 03:02:45
BTN,95.58,2026-09-13 03:02:45
BWP,13.93,2026-09-13 03:02:45
BYN,3.04,2026-09-13 03:02:45
BZD,2.0,2026-09-13 03:02:45
CAD,1.39,2026-09-13 03:02:45
CDF,2304.93,2026-09-13 03:02:45
CHF,0.816,2026-09-13 03:02:45
CLF,0.0237,2026-09-13 03:02:45
CLP,938.28,2026-09-13 03:02:45
CNH,6.71,2026-09-13 03:02:45
CNY,6.73,2026-09-13 03:02:45
COP,3105.78,2026-09-13 03:02:45
CRC,454.37,2026-09-13 03:02:45
CUP,24.0,2026-09-13 03:02:45
CVE,95.03,2026-09-13 03:02:45
CZK,20.9,2026-09-13 03:02:45
DJF,177.72,2026-09-13 03:02:45
DKK,6.45,2026-09-13 03:02:45
DOP,58.83,2026-09-13 03:02:45
DZD,133.12,2026-09-13 03:02:45
EGP,51.34,2026-09-13 03:02:45
ERN,15.0,2026-09-13 03:02:45
ETB,161.41,2026-09-13 03:02:45
EUR,0.862,2026-09-13 03:02:45
FJD,2.22,2026-09-13 03:02:45
FKP,0.739,2026-09-13 03:02:45
FOK,6.44,2026-09-13 03:02:45
GBP,0.739,2026-09-13 03:02:45
GEL,2.61,2026-09-13 03:02:45
GGP,0.739,2026-09-13 03:02:45
GHS,11.41,2026-09-13 03:02:45
GIP,0.739,2026-09-13 03:02:45
GMD,74.74,2026-09-13 03:02:45
GNF,8789.78,2026-09-13 03:02:45
GTQ,7.64,2026-09-13 03:02:45
GYD,209.29,2026-09-13 03:02:45
HKD,7.84,2026-09-13 03:02:45
HNL,26.85,2026-09-13 03:02:45
HRK,6.49,2026-09-13 03:02:45
HTG,130.65,2026-09-13 03:02:45
HUF,313.52,2026-09-13 03:02:45
IDR,17603.77,2026-09-13 03:02:45
ILS,3.04,2026-09-13 03:02:45
IMP,0.739,2026-09-13 03:02:45
INR,95.58,2026-09-13 03:02:45
IQD,1310.97,2026-09-13 03:02:45
IRR,1522297.13,2026-09-13 03:02:45
ISK,120.49,2026-09-13 03:02:45
JEP,0.739,2026-09-13 03:02:45
JMD,157.98,2026-09-13 03:02:45
JOD,0.709,2026-09-13 03:02:45
JPY,153.8,2026-09-13 03:02:45
KES,129.45,2026-09-13 03:02:45
KGS,87.49,2026-09-13 03:02:45
KHR,4043.81,2026-09-13 03:02:45
KID,1.4,2026-09-13 03:02:45
KMF,424.0,2026-09-13 03:02:45
KRW,1343.03,2026-09-13 03:02:45
KWD,0.308,2026-09-13 03:02:45
KYD,0.833,2026-09-13 03:02:45
KZT,450.91,2026-09-13 03:02:45
LAK,22202.16,2026-09-13 03:02:45
LBP,89500.0,2026-09-13 03:02:45
LKR,328.2,2026-09-13 03:02:45
LRD,174.75,2026-09-13 03:02:45
LSL,16.14,2026-09-13 03:02:45
LYD,6.33,2026-09-13 03:02:45
MAD,9.39,2026-09-13 03:02:45
MDL,17.26,2026-09-13 03:02:45
MGA,4319.45,2026-09-13 03:02:45
MKD,52.98,2026-09-13 03:02:45
MMK,2101.51,2026-09-13 03:02:45
MNT,3626.99,2026-09-13 03:02:45
MOP,8.08,2026-09-13 03:02:45
MRU,40.14,2026-09-13 03:02:45
MUR,46.85,2026-09-13 03:02:45
MVR,15.45,2026-09-13 03:02:45
MWK,1749.38,2026-09-13 03:02:45
MXN,16.96,2026-09-13 03:02:45
MYR,4.07,2026-09-13 03:02:45
MZN,63.86,2026-09-13 03:02:45
NAD,16.14,2026-09-13 03:02:45
NGN,1326.97,2026-09-13 03:02:45
NIO,36.82,2026-09-13 03:02:45
NOK,9.29,2026-09-13 03:02:45
NPR,152.93,2026-09-13 03:02:45
NZD,1.72,2026-09-13 03:02:45
OMR,0.384,2026-09-13 03:02:45
PAB,1.0,2026-09-13 03:02:45
PEN,3.36,2026-09-13 03:02:45
PGK,4.51,2026-09-13 03:02:45
PHP,62.67,2026-09-13 03:02:45
PKR,277.69,2026-09-13 03:02:45
PLN,3.72,2026-09-13 03:02:45
PYG,5903.98,2026-09-13 03:02:45
QAR,3.64,2026-09-13 03:02:45
RON,4.52,2026-09-13 03:02:45
RSD,101.06,2026-09-13 03:02:45
RUB,84.36,2026-09-13 03:02:45
RWF,1475.52,2026-09-13 03:02:45
SAR,3.75,2026-09-13 03:02:45
SBD,7.9,2026-09-13 03:02:45
SCR,13.74,2026-09-13 03:02:45
SDG,509.27,2026-09-13 03:02:45
SEK,9.7,2026-09-13 03:02:45
SGD,1.27,2026-09-13 03:02:45
SHP,0.739,2026-09-13 03:02:45
SLE,24.68,2026-09-13 03:02:45
SLL,24681.62,2026-09-13 03:02:45
SOS,571.49,2026-09-13 03:02:45
SRD,38.11,2026-09-13 03:02:45
SSP,5651.69,2026-09-13 03:02:45
STN,21.12,2026-09-13 03:02:45
SYP,121.96,2026-09-13 03:02:45
SZL,16.14,2026-09-13 03:02:45
THB,33.03,2026-09-13 03:02:45
TJS,9.23,2026-09-13 03:02:45
TMT,3.5,2026-09-13 03:02:45
TND,2.91,2026-09-13 03:02:45
TOP,2.36,2026-09-13 03:02:45
TRY,48.6,2026-09-13 03:02:45
TTD,6.76,2026-09-13 03:02:45
TVD,1.4,2026-09-13 03:02:45
TWD,31.56,2026-09-13 03:02:45
TZS,2646.93,2026-09-13 03:02:45
UAH,44.58,2026-09-13 03:02:45
UGX,3754.87,2026-09-13 03:02:45
UYU,40.27,2026-09-13 03:02:45
UZS,11770.95,2026-09-13 03:02:45
VES,842.21,2026-09-13 03:02:45
VND,25876.38,2026-09-13 03:02:45
VUV,118.04,2026-09-13 03:02:45
WST,2.69,2026-09-13 03:02:45
XAF,565.33,2026-09-13 03:02:45
XCD,2.7,2026-09-13 03:02:45
XCG,1.79,2026-09-13 03:02:45
XDR,0.729,2026-09-13 03:02:45
XOF,565.33,2026-09-13 03:02:45
XPF,102.84,2026-09-13 03:02:45
YER,237.16,2026-09-13 03:02:45
ZAR,16.14,2026-09-13 03:02:45
ZMW,19.19,2026-09-13 03:02:45
ZWG,26.65,2026-09-13 03:02:45
ZWL,26.65,2026-09-13 03:02:45
