currency,rate,timestamp
USD,1.0,2026-09-17 03:20:10
AED,3.67,2026-09-17 03:20:10
AFN,64.65,2026-09-17 03:20:10
ALL,79.54,2026-09-17 03:20:10
AMD,363.49,2026-09-17 03:20:10
ANG,1.79,2026-09-17 03:20:10
AOA,929.63,2026-09-17 03:20:10
ARS,1509.11,2026-09-17 03:20:10
AUD,1.41,2026-09-17 03:20:10
AWG,1.79,2026-09-17 03:20:10
AZN,1.7,2026-09-17 03:20:10
BAM,1.7,2026-09-17 03:20:10
BBD,2.0,2026-09-17 03:20:10
BDT,123.11,2026-09-17 03:20:10
BGN,1.7,2026-09-17 03:20:10
BHD,0.376,2026-09-17 03:20:10
BIF,2993.18,2026-09-17 03:20:10
BMD,1.0,2026-09-17 03:20:10
BND,1.28,2026-09-17 03:20:10
BOB,11.31,2026-09-17 03:20:10
BRL,5.15,2026-09-17 03:20:10
BSD,1.0,2026-09-17 03:20:10
BTN,96.03,2026-09-17 03:20:10
BWP,14.14,2026-09-17 03:20:10
BYN,3.03,2026-09-17 03:20:10
BZD,2.0,2026-09-17 03:20:10
CAD,1.4,2026-09-17 03:20:10
CDF,2309.52,2026-09-17 03:20:10
CHF,0.823,2026-09-17 03:20:10
CLF,0.0242,2026-09-17 03:20:10
CLP,955.76,2026-09-17 03:20:10
CNH,6.71,2026-09-17 03:20:10
CNY,6.72,2026-09-17 03:20:10
COP,3114.01,2026-09-17 03:20:10
CRC,447.72,2026-09-17 03:20:10
CUP,24.0,2026-09-17 03:20:10
CVE,95.85,2026-09-17 03:20:10
CZK,21.13,2026-09-17 03:20:10
DJF,177.72,2026-09-17 03:20:10
DKK,6.48,2026-09-17 03:20:10
DOP,59.01,2026-09-17 03:20:10
DZD,133.75,2026-09-17 03:20:10
EGP,52.19,2026-09-17 03:20:10
ERN,15.0,2026-09-17 03:20:10
ETB,161.9,2026-09-17 03:20:10
EUR,0.869,2026-09-17 03:20:10
FJD,2.22,2026-09-17 03:20:10
FKP,0.745,2026-09-17 03:20:10
FOK,6.48,2026-09-17 03:20:10
GBP,0.745,2026-09-17 03:20:10
GEL,2.6,2026-09-17 03:20:10
GGP,0.745,2026-09-17 03:20:10
GHS,11.45,2026-09-17 03:20:10
GIP,0.745,2026-09-17 03:20:10
GMD,74.58,2026-09-17 03:20:10
GNF,8788.89,2026-09-17 03:20:10
GTQ,7.64,2026-09-17 03:20:10
GYD,209.34,2026-09-17 03:20:10
HKD,7.84,2026-09-17 03:20:10
HNL,26.86,2026-09-17 03:20:10
HRK,6.55,2026-09-17 03:20:10
HTG,130.7,2026-09-17 03:20:10
HUF,317.21,2026-09-17 03:20:10
IDR,17699.87,2026-09-17 03:20:10
ILS,3.04,2026-09-17 03:20:10
IMP,0.745,2026-09-17 03:20:10
INR,96.02,2026-09-17 03:20:10
IQD,1311.46,2026-09-17 03:20:10
IRR,1407923.94,2026-09-17 03:20:10
ISK,121.16,2026-09-17 03:20:10
JEP,0.745,2026-09-17 03:20:10
JMD,157.86,2026-09-17 03:20:10
JOD,0.709,2026-09-17 03:20:10
JPY,155.58,2026-09-17 03:20:10
KES,129.58,2026-09-17 03:20:10
KGS,87.5,2026-09-17 03:20:10
KHR,4047.45,2026-09-17 03:20:10
KID,1.41,2026-09-17 03:20:10
KMF,427.67,2026-09-17 03:20:10
KRW,1369.81,2026-09-17 03:20:10
KWD,0.308,2026-09-17 03:20:10
KYD,0.833,2026-09-17 03:20:10
KZT,446.43,2026-09-17 03:20:10
LAK,22299.3,2026-09-17 03:20:10
LBP,89500.0,2026-09-17 03:20:10
LKR,331.02,2026-09-17 03:20:10
LRD,173.91,2026-09-17 03:20:10
LSL,16.32,2026-09-17 03:20:10
LYD,6.35,2026-09-17 03:20:10
MAD,9.46,2026-09-17 03:20:10
MDL,17.4,2026-09-17 03:20:10
MGA,4336.54,2026-09-17 03:20:10
MKD,53.35,2026-09-17 03:20:10
MMK,2101.11,2026-09-17 03:20:10
MNT,3618.8,2026-09-17 03:20:10
MOP,8.08,2026-09-17 03:20:10
MRU,40.29,2026-09-17 03:20:10
MUR,47.18,2026-09-17 03:20:10
MVR,15.45,2026-09-17 03:20:10
MWK,1743.09,2026-09-17 03:20:10
MXN,17.19,2026-09-17 03:20:10
MYR,4.09,2026-09-17 03:20:10
MZN,63.84,2026-09-17 03:20:10
NAD,16.32,2026-09-17 03:20:10
NGN,1327.88,2026-09-17 03:20:10
NIO,36.78,2026-09-17 03:20:10
NOK,9.39,2026-09-17 03:20:10
NPR,153.65,2026-09-17 03:20:10
NZD,1.74,2026-09-17 03:20:10
OMR,0.384,2026-09-17 03:20:10
PAB,1.0,2026-09-17 03:20:10
PEN,3.36,2026-09-17 03:20:10
PGK,4.49,2026-09-17 03:20:10
