currency,rate,timestamp
USD,1.0,2026-06-05 03:31:56
AED,3.67,2026-06-05 03:31:56
AFN,63.23,2026-06-05 03:31:56
ALL,81.98,2026-06-05 03:31:56
AMD,368.46,2026-06-05 03:31:56
ANG,1.79,2026-06-05 03:31:56
AOA,926.37,2026-06-05 03:31:56
ARS,1438.82,2026-06-05 03:31:56
AUD,1.4,2026-06-05 03:31:56
AWG,1.79,2026-06-05 03:31:56
AZN,1.7,2026-06-05 03:31:56
BAM,1.68,2026-06-05 03:31:56
BBD,2.0,2026-06-05 03:31:56
BDT,122.69,2026-06-05 03:31:56
BGN,1.68,2026-06-05 03:31:56
BHD,0.376,2026-06-05 03:31:56
BIF,2982.39,2026-06-05 03:31:56
BMD,1.0,2026-06-05 03:31:56
BND,1.28,2026-06-05 03:31:56
BOB,6.92,2026-06-05 03:31:56
BRL,5.06,2026-06-05 03:31:56
BSD,1.0,2026-06-05 03:31:56
BTN,95.84,2026-06-05 03:31:56
BWP,13.68,2026-06-05 03:31:56
BYN,2.82,2026-06-05 03:31:56
BZD,2.0,2026-06-05 03:31:56
CAD,1.39,2026-06-05 03:31:56
CDF,2293.66,2026-06-05 03:31:56
CHF,0.789,2026-06-05 03:31:56
CLF,0.0226,2026-06-05 03:31:56
CLP,893.11,2026-06-05 03:31:56
CNH,6.77,2026-06-05 03:31:56
CNY,6.79,2026-06-05 03:31:56
COP,3568.18,2026-06-05 03:31:56
CRC,458.28,2026-06-05 03:31:56
CUP,24.0,2026-06-05 03:31:56
CVE,94.89,2026-06-05 03:31:56
CZK,20.83,2026-06-05 03:31:56
DJF,177.72,2026-06-05 03:31:56
DKK,6.42,2026-06-05 03:31:56
DOP,58.12,2026-06-05 03:31:56
DZD,133.24,2026-06-05 03:31:56
EGP,51.82,2026-06-05 03:31:56
ERN,15.0,2026-06-05 03:31:56
ETB,160.0,2026-06-05 03:31:56
EUR,0.861,2026-06-05 03:31:56
FJD,2.2,2026-06-05 03:31:56
FKP,0.744,2026-06-05 03:31:56
FOK,6.42,2026-06-05 03:31:56
GBP,0.744,2026-06-05 03:31:56
GEL,2.66,2026-06-05 03:31:56
GGP,0.744,2026-06-05 03:31:56
GHS,11.79,2026-06-05 03:31:56
GIP,0.744,2026-06-05 03:31:56
GMD,74.18,2026-06-05 03:31:56
GNF,8762.98,2026-06-05 03:31:56
GTQ,7.62,2026-06-05 03:31:56
GYD,209.07,2026-06-05 03:31:56
HKD,7.83,2026-06-05 03:31:56
HNL,26.59,2026-06-05 03:31:56
HRK,6.48,2026-06-05 03:31:56
HTG,130.67,2026-06-05 03:31:56
HUF,304.76,2026-06-05 03:31:56
IDR,18036.99,2026-06-05 03:31:56
ILS,2.89,2026-06-05 03:31:56
IMP,0.744,2026-06-05 03:31:56
INR,95.84,2026-06-05 03:31:56
IQD,1310.18,2026-06-05 03:31:56
IRR,1269398.09,2026-06-05 03:31:56
ISK,123.42,2026-06-05 03:31:56
JEP,0.744,2026-06-05 03:31:56
JMD,157.64,2026-06-05 03:31:56
JOD,0.709,2026-06-05 03:31:56
JPY,159.95,2026-06-05 03:31:56
KES,129.26,2026-06-05 03:31:56
KGS,87.43,2026-06-05 03:31:56
KHR,4023.77,2026-06-05 03:31:56
KID,1.4,2026-06-05 03:31:56
KMF,423.35,2026-06-05 03:31:56
KRW,1532.42,2026-06-05 03:31:56
KWD,0.308,2026-06-05 03:31:56
KYD,0.833,2026-06-05 03:31:56
KZT,485.16,2026-06-05 03:31:56
LAK,21904.38,2026-06-05 03:31:56
LBP,89500.0,2026-06-05 03:31:56
LKR,334.66,2026-06-05 03:31:56
LRD,182.42,2026-06-05 03:31:56
LSL,16.3,2026-06-05 03:31:56
LYD,6.36,2026-06-05 03:31:56
MAD,9.19,2026-06-05 03:31:56
MDL,17.29,2026-06-05 03:31:56
MGA,4196.41,2026-06-05 03:31:56
MKD,53.06,2026-06-05 03:31:56
MMK,2098.25,2026-06-05 03:31:56
MNT,3568.12,2026-06-05 03:31:56
MOP,8.07,2026-06-05 03:31:56
MRU,40.04,2026-06-05 03:31:56
MUR,47.5,2026-06-05 03:31:56
MVR,15.43,2026-06-05 03:31:56
MWK,1740.64,2026-06-05 03:31:56
MXN,17.28,2026-06-05 03:31:56
MYR,4.01,2026-06-05 03:31:56
MZN,63.61,2026-06-05 03:31:56
NAD,16.3,2026-06-05 03:31:56
NGN,1360.61,2026-06-05 03:31:56
NIO,36.77,2026-06-05 03:31:56
NOK,9.33,2026-06-05 03:31:56
NPR,153.35,2026-06-05 03:31:56
NZD,1.7,2026-06-05 03:31:56
OMR,0.384,2026-06-05 03:31:56
PAB,1.0,2026-06-05 03:31:56
PEN,3.41,2026-06-05 03:31:56
PGK,4.37,2026-06-05 03:31:56
PHP,61.62,2026-06-05 03:31:56
PKR,278.64,2026-06-05 03:31:56
PLN,3.65,2026-06-05 03:31:56
PYG,6079.64,2026-06-05 03:31:56
QAR,3.64,2026-06-05 03:31:56
RON,4.52,2026-06-05 03:31:56
RSD,100.9,2026-06-05 03:31:56
RUB,73.74,2026-06-05 03:31:56
RWF,1466.2,2026-06-05 03:31:56
SAR,3.75,2026-06-05 03:31:56
SBD,7.91,2026-06-05 03:31:56
SCR,14.29,2026-06-05 03:31:56
SDG,510.82,2026-06-05 03:31:56
SEK,9.37,2026-06-05 03:31:56
SGD,1.28,2026-06-05 03:31:56
SHP,0.744,2026-06-05 03:31:56
SLE,24.56,2026-06-05 03:31:56
SLL,24557.05,2026-06-05 03:31:56
SOS,571.14,2026-06-05 03:31:56
SRD,37.16,2026-06-05 03:31:56
SSP,4698.43,2026-06-05 03:31:56
STN,21.08,2026-06-05 03:31:56
SYP,112.85,2026-06-05 03:31:56
SZL,16.3,2026-06-05 03:31:56
THB,32.65,2026-06-05 03:31:56
TJS,9.26,2026-06-05 03:31:56
TMT,3.5,2026-06-05 03:31:56
TND,2.91,2026-06-05 03:31:56
TOP,2.36,2026-06-05 03:31:56
TRY,46.04,2026-06-05 03:31:56
TTD,6.76,2026-06-05 03:31:56
TVD,1.4,2026-06-05 03:31:56
TWD,31.51,2026-06-05 03:31:56
TZS,2619.59,2026-06-05 03:31:56
UAH,44.37,2026-06-05 03:31:56
UGX,3739.67,2026-06-05 03:31:56
UYU,40.27,2026-06-05 03:31:56
UZS,11940.18,2026-06-05 03:31:56
VES,563.29,2026-06-05 03:31:56
VND,26223.21,2026-06-05 03:31:56
VUV,118.18,2026-06-05 03:31:56
WST,2.68,2026-06-05 03:31:56
XAF,564.47,2026-06-05 03:31:56
XCD,2.7,2026-06-05 03:31:56
XCG,1.79,2026-06-05 03:31:56
XDR,0.732,2026-06-05 03:31:56
XOF,564.47,2026-06-05 03:31:56
XPF,102.69,2026-06-05 03:31:56
YER,238.31,2026-06-05 03:31:56
ZAR,16.3,2026-06-05 03:31:56
ZMW,17.74,2026-06-05 03:31:56
ZWG,26.88,2026-06-05 03:31:56
ZWL,26.88,2026-06-05 03:31:56
