currency,rate,timestamp
USD,1.0,2026-09-21 03:13:50
AED,3.67,2026-09-21 03:13:50
AFN,64.81,2026-09-21 03:13:50
ALL,79.97,2026-09-21 03:13:50
AMD,364.47,2026-09-21 03:13:50
ANG,1.79,2026-09-21 03:13:50
AOA,918.88,2026-09-21 03:13:50
ARS,1512.33,2026-09-21 03:13:50
AUD,1.4,2026-09-21 03:13:50
AWG,1.79,2026-09-21 03:13:50
AZN,1.71,2026-09-21 03:13:50
BAM,1.7,2026-09-21 03:13:50
BBD,2.0,2026-09-21 03:13:50
BDT,123.08,2026-09-21 03:13:50
BGN,1.7,2026-09-21 03:13:50
BHD,0.376,2026-09-21 03:13:50
BIF,3000.38,2026-09-21 03:13:50
BMD,1.0,2026-09-21 03:13:50
BND,1.28,2026-09-21 03:13:50
BOB,11.24,2026-09-21 03:13:50
BRL,5.14,2026-09-21 03:13:50
BSD,1.0,2026-09-21 03:13:50
BTN,96.05,2026-09-21 03:13:50
BWP,13.82,2026-09-21 03:13:50
BYN,3.03,2026-09-21 03:13:50
BZD,2.0,2026-09-21 03:13:50
CAD,1.4,2026-09-21 03:13:50
CDF,2315.0,2026-09-21 03:13:50
CHF,0.823,2026-09-21 03:13:50
CLF,0.0243,2026-09-21 03:13:50
CLP,961.81,2026-09-21 03:13:50
CNH,6.7,2026-09-21 03:13:50
CNY,6.7,2026-09-21 03:13:50
COP,3165.61,2026-09-21 03:13:50
CRC,448.77,2026-09-21 03:13:50
CUP,24.0,2026-09-21 03:13:50
CVE,96.08,2026-09-21 03:13:50
CZK,21.2,2026-09-21 03:13:50
DJF,177.72,2026-09-21 03:13:50
DKK,6.52,2026-09-21 03:13:50
DOP,58.98,2026-09-21 03:13:50
DZD,134.23,2026-09-21 03:13:50
EGP,52.04,2026-09-21 03:13:50
ERN,15.0,2026-09-21 03:13:50
ETB,161.32,2026-09-21 03:13:50
EUR,0.871,2026-09-21 03:13:50
FJD,2.22,2026-09-21 03:13:50
FKP,0.748,2026-09-21 03:13:50
FOK,6.52,2026-09-21 03:13:50
GBP,0.747,2026-09-21 03:13:50
GEL,2.61,2026-09-21 03:13:50
GGP,0.748,2026-09-21 03:13:50
GHS,11.46,2026-09-21 03:13:50
GIP,0.748,2026-09-21 03:13:50
GMD,74.73,2026-09-21 03:13:50
GNF,8803.47,2026-09-21 03:13:50
GTQ,7.66,2026-09-21 03:13:50
GYD,210.15,2026-09-21 03:13:50
HKD,7.85,2026-09-21 03:13:50
HNL,26.95,2026-09-21 03:13:50
HRK,6.57,2026-09-21 03:13:50
HTG,131.14,2026-09-21 03:13:50
HUF,317.53,2026-09-21 03:13:50
IDR,17790.47,2026-09-21 03:13:50
ILS,3.03,2026-09-21 03:13:50
IMP,0.748,2026-09-21 03:13:50
INR,96.04,2026-09-21 03:13:50
IQD,1314.59,2026-09-21 03:13:50
IRR,1524355.56,2026-09-21 03:13:50
ISK,121.46,2026-09-21 03:13:50
JEP,0.748,2026-09-21 03:13:50
JMD,158.22,2026-09-21 03:13:50
JOD,0.709,2026-09-21 03:13:50
JPY,156.92,2026-09-21 03:13:50
KES,129.57,2026-09-21 03:13:50
KGS,87.79,2026-09-21 03:13:50
KHR,4063.93,2026-09-21 03:13:50
KID,1.4,2026-09-21 03:13:50
KMF,428.7,2026-09-21 03:13:50
KRW,1386.02,2026-09-21 03:13:50
KWD,0.309,2026-09-21 03:13:50
KYD,0.833,2026-09-21 03:13:50
KZT,447.02,2026-09-21 03:13:50
LAK,22356.21,2026-09-21 03:13:50
LBP,89500.0,2026-09-21 03:13:50
LKR,330.1,2026-09-21 03:13:50
LRD,174.04,2026-09-21 03:13:50
LSL,16.26,2026-09-21 03:13:50
LYD,6.38,2026-09-21 03:13:50
MAD,9.54,2026-09-21 03:13:50
MDL,17.56,2026-09-21 03:13:50
MGA,4378.46,2026-09-21 03:13:50
MKD,53.87,2026-09-21 03:13:50
MMK,2108.25,2026-09-21 03:13:50
MNT,3570.16,2026-09-21 03:13:50
MOP,8.08,2026-09-21 03:13:50
MRU,40.42,2026-09-21 03:13:50
MUR,47.41,2026-09-21 03:13:50
MVR,15.47,2026-09-21 03:13:50
MWK,1747.96,2026-09-21 03:13:50
MXN,17.23,2026-09-21 03:13:50
MYR,4.08,2026-09-21 03:13:50
MZN,63.85,2026-09-21 03:13:50
NAD,16.26,2026-09-21 03:13:50
NGN,1332.83,2026-09-21 03:13:50
NIO,36.9,2026-09-21 03:13:50
NOK,9.41,2026-09-21 03:13:50
NPR,153.68,2026-09-21 03:13:50
NZD,1.75,2026-09-21 03:13:50
OMR,0.384,2026-09-21 03:13:50
PAB,1.0,2026-09-21 03:13:50
PEN,3.38,2026-09-21 03:13:50
PGK,4.5,2026-09-21 03:13:50
PHP,62.89,2026-09-21 03:13:50
PKR,277.93,2026-09-21 03:13:50
PLN,3.8,2026-09-21 03:13:50
PYG,5967.41,2026-09-21 03:13:50
QAR,3.64,2026-09-21 03:13:50
RON,4.59,2026-09-21 03:13:50
RSD,102.36,2026-09-21 03:13:50
RUB,84.26,2026-09-21 03:13:50
RWF,1476.36,2026-09-21 03:13:50
SAR,3.75,2026-09-21 03:13:50
SBD,7.94,2026-09-21 03:13:50
SCR,14.17,2026-09-21 03:13:50
SDG,513.52,2026-09-21 03:13:50
SEK,9.84,2026-09-21 03:13:50
SGD,1.28,2026-09-21 03:13:50
SHP,0.748,2026-09-21 03:13:50
SLE,24.91,2026-09-21 03:13:50
SLL,24908.74,2026-09-21 03:13:50
SOS,573.92,2026-09-21 03:13:50
