currency,rate,timestamp
USD,1.0,2026-07-03 02:42:10
AED,3.67,2026-07-03 02:42:10
AFN,64.72,2026-07-03 02:42:10
ALL,82.55,2026-07-03 02:42:10
AMD,368.05,2026-07-03 02:42:10
ANG,1.79,2026-07-03 02:42:10
AOA,925.13,2026-07-03 02:42:10
ARS,1490.68,2026-07-03 02:42:10
AUD,1.45,2026-07-03 02:42:10
AWG,1.79,2026-07-03 02:42:10
AZN,1.7,2026-07-03 02:42:10
BAM,1.71,2026-07-03 02:42:10
BBD,2.0,2026-07-03 02:42:10
BDT,123.27,2026-07-03 02:42:10
BGN,1.71,2026-07-03 02:42:10
BHD,0.376,2026-07-03 02:42:10
BIF,2988.1,2026-07-03 02:42:10
BMD,1.0,2026-07-03 02:42:10
BND,1.29,2026-07-03 02:42:10
BOB,6.93,2026-07-03 02:42:10
BRL,5.2,2026-07-03 02:42:10
BSD,1.0,2026-07-03 02:42:10
BTN,95.39,2026-07-03 02:42:10
BWP,14.32,2026-07-03 02:42:10
BYN,2.9,2026-07-03 02:42:10
BZD,2.0,2026-07-03 02:42:10
CAD,1.42,2026-07-03 02:42:10
CDF,2290.66,2026-07-03 02:42:10
CHF,0.804,2026-07-03 02:42:10
CLF,0.0234,2026-07-03 02:42:10
CLP,925.02,2026-07-03 02:42:10
CNH,6.79,2026-07-03 02:42:10
CNY,6.8,2026-07-03 02:42:10
COP,3388.84,2026-07-03 02:42:10
CRC,455.38,2026-07-03 02:42:10
CUP,24.0,2026-07-03 02:42:10
CVE,96.52,2026-07-03 02:42:10
CZK,21.19,2026-07-03 02:42:10
DJF,177.72,2026-07-03 02:42:10
DKK,6.54,2026-07-03 02:42:10
DOP,59.48,2026-07-03 02:42:10
DZD,133.35,2026-07-03 02:42:10
EGP,49.11,2026-07-03 02:42:10
ERN,15.0,2026-07-03 02:42:10
ETB,159.48,2026-07-03 02:42:10
EUR,0.875,2026-07-03 02:42:10
FJD,2.26,2026-07-03 02:42:10
FKP,0.75,2026-07-03 02:42:10
FOK,6.54,2026-07-03 02:42:10
GBP,0.75,2026-07-03 02:42:10
GEL,2.64,2026-07-03 02:42:10
GGP,0.75,2026-07-03 02:42:10
GHS,11.35,2026-07-03 02:42:10
GIP,0.75,2026-07-03 02:42:10
GMD,74.3,2026-07-03 02:42:10
GNF,8779.2,2026-07-03 02:42:10
GTQ,7.63,2026-07-03 02:42:10
GYD,209.2,2026-07-03 02:42:10
HKD,7.84,2026-07-03 02:42:10
HNL,26.72,2026-07-03 02:42:10
HRK,6.6,2026-07-03 02:42:10
HTG,130.74,2026-07-03 02:42:10
HUF,310.26,2026-07-03 02:42:10
IDR,17989.44,2026-07-03 02:42:10
ILS,3.0,2026-07-03 02:42:10
IMP,0.75,2026-07-03 02:42:10
INR,95.39,2026-07-03 02:42:10
IQD,1310.31,2026-07-03 02:42:10
IRR,1279924.33,2026-07-03 02:42:10
ISK,126.03,2026-07-03 02:42:10
JEP,0.75,2026-07-03 02:42:10
JMD,157.64,2026-07-03 02:42:10
JOD,0.709,2026-07-03 02:42:10
JPY,161.33,2026-07-03 02:42:10
KES,129.25,2026-07-03 02:42:10
KGS,87.46,2026-07-03 02:42:10
KHR,4041.46,2026-07-03 02:42:10
KID,1.45,2026-07-03 02:42:10
KMF,430.64,2026-07-03 02:42:10
KRW,1543.91,2026-07-03 02:42:10
KWD,0.31,2026-07-03 02:42:10
KYD,0.833,2026-07-03 02:42:10
KZT,474.22,2026-07-03 02:42:10
LAK,22376.9,2026-07-03 02:42:10
LBP,89500.0,2026-07-03 02:42:10
LKR,335.84,2026-07-03 02:42:10
LRD,181.71,2026-07-03 02:42:10
LSL,16.27,2026-07-03 02:42:10
LYD,6.41,2026-07-03 02:42:10
MAD,9.38,2026-07-03 02:42:10
MDL,17.66,2026-07-03 02:42:10
MGA,4265.01,2026-07-03 02:42:10
MKD,54.15,2026-07-03 02:42:10
MMK,2098.74,2026-07-03 02:42:10
MNT,3585.02,2026-07-03 02:42:10
MOP,8.08,2026-07-03 02:42:10
MRU,39.92,2026-07-03 02:42:10
MUR,47.23,2026-07-03 02:42:10
MVR,15.45,2026-07-03 02:42:10
MWK,1739.97,2026-07-03 02:42:10
MXN,17.49,2026-07-03 02:42:10
MYR,4.08,2026-07-03 02:42:10
MZN,63.63,2026-07-03 02:42:10
NAD,16.27,2026-07-03 02:42:10
NGN,1370.99,2026-07-03 02:42:10
NIO,36.77,2026-07-03 02:42:10
NOK,9.86,2026-07-03 02:42:10
NPR,152.62,2026-07-03 02:42:10
NZD,1.76,2026-07-03 02:42:10
OMR,0.384,2026-07-03 02:42:10
PAB,1.0,2026-07-03 02:42:10
PEN,3.41,2026-07-03 02:42:10
PGK,4.39,2026-07-03 02:42:10
PHP,61.55,2026-07-03 02:42:10
PKR,277.9,2026-07-03 02:42:10
PLN,3.75,2026-07-03 02:42:10
PYG,6069.5,2026-07-03 02:42:10
QAR,3.64,2026-07-03 02:42:10
RON,4.59,2026-07-03 02:42:10
RSD,102.97,2026-07-03 02:42:10
RUB,77.76,2026-07-03 02:42:10
RWF,1468.83,2026-07-03 02:42:10
SAR,3.75,2026-07-03 02:42:10
SBD,7.99,2026-07-03 02:42:10
SCR,14.22,2026-07-03 02:42:10
SDG,511.6,2026-07-03 02:42:10
SEK,9.69,2026-07-03 02:42:10
SGD,1.29,2026-07-03 02:42:10
SHP,0.75,2026-07-03 02:42:10
SLE,24.36,2026-07-03 02:42:10
SLL,24355.05,2026-07-03 02:42:10
SOS,571.42,2026-07-03 02:42:10
SRD,37.63,2026-07-03 02:42:10
SSP,4709.67,2026-07-03 02:42:10
STN,21.45,2026-07-03 02:42:10
SYP,112.99,2026-07-03 02:42:10
SZL,16.27,2026-07-03 02:42:10
THB,33.22,2026-07-03 02:42:10
TJS,9.27,2026-07-03 02:42:10
TMT,3.5,2026-07-03 02:42:10
TND,2.95,2026-07-03 02:42:10
TOP,2.39,2026-07-03 02:42:10
TRY,46.73,2026-07-03 02:42:10
TTD,6.76,2026-07-03 02:42:10
TVD,1.45,2026-07-03 02:42:10
TWD,31.92,2026-07-03 02:42:10
TZS,2621.51,2026-07-03 02:42:10
UAH,44.86,2026-07-03 02:42:10
UGX,3644.89,2026-07-03 02:42:10
UYU,40.19,2026-07-03 02:42:10
UZS,11912.25,2026-07-03 02:42:10
VES,652.97,2026-07-03 02:42:10
VND,26208.11,2026-07-03 02:42:10
VUV,120.16,2026-07-03 02:42:10
WST,2.74,2026-07-03 02:42:10
XAF,574.19,2026-07-03 02:42:10
XCD,2.7,2026-07-03 02:42:10
XCG,1.79,2026-07-03 02:42:10
XDR,0.736,2026-07-03 02:42:10
XOF,574.19,2026-07-03 02:42:10
XPF,104.46,2026-07-03 02:42:10
YER,238.64,2026-07-03 02:42:10
ZAR,16.27,2026-07-03 02:42:10
ZMW,18.22,2026-07-03 02:42:10
ZWG,26.87,2026-07-03 02:42:10
ZWL,26.87,2026-07-03 02:42:10
