currency,rate,timestamp
USD,1.0,2026-09-15 03:18:29
AED,3.67,2026-09-15 03:18:29
AFN,64.43,2026-09-15 03:18:29
ALL,79.4,2026-09-15 03:18:29
AMD,363.32,2026-09-15 03:18:29
ANG,1.79,2026-09-15 03:18:29
AOA,928.64,2026-09-15 03:18:29
ARS,1510.32,2026-09-15 03:18:29
AUD,1.4,2026-09-15 03:18:29
AWG,1.79,2026-09-15 03:18:29
AZN,1.7,2026-09-15 03:18:29
BAM,1.69,2026-09-15 03:18:29
BBD,2.0,2026-09-15 03:18:29
BDT,123.16,2026-09-15 03:18:29
BGN,1.69,2026-09-15 03:18:29
BHD,0.376,2026-09-15 03:18:29
BIF,3007.31,2026-09-15 03:18:29
BMD,1.0,2026-09-15 03:18:29
BND,1.27,2026-09-15 03:18:29
BOB,12.31,2026-09-15 03:18:29
BRL,5.15,2026-09-15 03:18:29
BSD,1.0,2026-09-15 03:18:29
BTN,95.66,2026-09-15 03:18:29
BWP,13.93,2026-09-15 03:18:29
BYN,3.03,2026-09-15 03:18:29
BZD,2.0,2026-09-15 03:18:29
CAD,1.39,2026-09-15 03:18:29
CDF,2305.53,2026-09-15 03:18:29
CHF,0.817,2026-09-15 03:18:29
CLF,0.0238,2026-09-15 03:18:29
CLP,941.31,2026-09-15 03:18:29
CNH,6.71,2026-09-15 03:18:29
CNY,6.73,2026-09-15 03:18:29
COP,3078.94,2026-09-15 03:18:29
CRC,450.6,2026-09-15 03:18:29
CUP,24.0,2026-09-15 03:18:29
CVE,95.42,2026-09-15 03:18:29
CZK,21.02,2026-09-15 03:18:29
DJF,177.72,2026-09-15 03:18:29
DKK,6.47,2026-09-15 03:18:29
DOP,59.04,2026-09-15 03:18:29
DZD,133.41,2026-09-15 03:18:29
EGP,51.83,2026-09-15 03:18:29
ERN,15.0,2026-09-15 03:18:29
ETB,161.61,2026-09-15 03:18:29
EUR,0.866,2026-09-15 03:18:29
FJD,2.2,2026-09-15 03:18:29
FKP,0.741,2026-09-15 03:18:29
FOK,6.47,2026-09-15 03:18:29
GBP,0.741,2026-09-15 03:18:29
GEL,2.61,2026-09-15 03:18:29
GGP,0.741,2026-09-15 03:18:29
GHS,11.5,2026-09-15 03:18:29
GIP,0.741,2026-09-15 03:18:29
GMD,74.47,2026-09-15 03:18:29
GNF,8787.45,2026-09-15 03:18:29
GTQ,7.63,2026-09-15 03:18:29
GYD,209.21,2026-09-15 03:18:29
HKD,7.84,2026-09-15 03:18:29
HNL,26.81,2026-09-15 03:18:29
HRK,6.52,2026-09-15 03:18:29
HTG,130.7,2026-09-15 03:18:29
HUF,316.66,2026-09-15 03:18:29
IDR,17660.61,2026-09-15 03:18:29
ILS,3.05,2026-09-15 03:18:29
IMP,0.741,2026-09-15 03:18:29
INR,95.67,2026-09-15 03:18:29
IQD,1311.55,2026-09-15 03:18:29
IRR,1466919.76,2026-09-15 03:18:29
ISK,121.09,2026-09-15 03:18:29
JEP,0.741,2026-09-15 03:18:29
JMD,157.82,2026-09-15 03:18:29
JOD,0.709,2026-09-15 03:18:29
JPY,154.39,2026-09-15 03:18:29
KES,129.44,2026-09-15 03:18:29
KGS,87.49,2026-09-15 03:18:29
KHR,4039.02,2026-09-15 03:18:29
KID,1.4,2026-09-15 03:18:29
KMF,425.73,2026-09-15 03:18:29
KRW,1347.2,2026-09-15 03:18:29
KWD,0.308,2026-09-15 03:18:29
KYD,0.833,2026-09-15 03:18:29
KZT,448.95,2026-09-15 03:18:29
LAK,22207.4,2026-09-15 03:18:29
