currency,rate,timestamp
USD,1.0,2026-07-23 02:29:10
AED,3.67,2026-07-23 02:29:10
AFN,66.21,2026-07-23 02:29:10
ALL,82.06,2026-07-23 02:29:10
AMD,366.35,2026-07-23 02:29:10
ANG,1.79,2026-07-23 02:29:10
AOA,924.25,2026-07-23 02:29:10
ARS,1480.86,2026-07-23 02:29:10
AUD,1.43,2026-07-23 02:29:10
AWG,1.79,2026-07-23 02:29:10
AZN,1.7,2026-07-23 02:29:10
BAM,1.71,2026-07-23 02:29:10
BBD,2.0,2026-07-23 02:29:10
BDT,123.41,2026-07-23 02:29:10
BGN,1.71,2026-07-23 02:29:10
BHD,0.376,2026-07-23 02:29:10
BIF,2990.34,2026-07-23 02:29:10
BMD,1.0,2026-07-23 02:29:10
BND,1.29,2026-07-23 02:29:10
BOB,10.85,2026-07-23 02:29:10
BRL,5.07,2026-07-23 02:29:10
BSD,1.0,2026-07-23 02:29:10
BTN,96.61,2026-07-23 02:29:10
BWP,13.88,2026-07-23 02:29:10
BYN,2.89,2026-07-23 02:29:10
BZD,2.0,2026-07-23 02:29:10
CAD,1.41,2026-07-23 02:29:10
CDF,2287.37,2026-07-23 02:29:10
CHF,0.814,2026-07-23 02:29:10
CLF,0.0237,2026-07-23 02:29:10
CLP,935.18,2026-07-23 02:29:10
CNH,6.77,2026-07-23 02:29:10
CNY,6.78,2026-07-23 02:29:10
COP,3218.94,2026-07-23 02:29:10
CRC,453.82,2026-07-23 02:29:10
CUP,24.0,2026-07-23 02:29:10
CVE,96.63,2026-07-23 02:29:10
CZK,21.18,2026-07-23 02:29:10
DJF,177.72,2026-07-23 02:29:10
DKK,6.54,2026-07-23 02:29:10
DOP,58.32,2026-07-23 02:29:10
DZD,133.17,2026-07-23 02:29:10
EGP,51.31,2026-07-23 02:29:10
ERN,15.0,2026-07-23 02:29:10
ETB,160.47,2026-07-23 02:29:10
EUR,0.876,2026-07-23 02:29:10
FJD,2.24,2026-07-23 02:29:10
FKP,0.748,2026-07-23 02:29:10
FOK,6.54,2026-07-23 02:29:10
GBP,0.748,2026-07-23 02:29:10
GEL,2.63,2026-07-23 02:29:10
GGP,0.748,2026-07-23 02:29:10
GHS,11.62,2026-07-23 02:29:10
GIP,0.748,2026-07-23 02:29:10
GMD,74.43,2026-07-23 02:29:10
GNF,8784.94,2026-07-23 02:29:10
GTQ,7.63,2026-07-23 02:29:10
GYD,209.27,2026-07-23 02:29:10
HKD,7.84,2026-07-23 02:29:10
